Coupe Most Popular Styles,MPG,Engine,MSRP
Coupe Manual,18/26,Premium Unleaded V-6 3.7 L,$30815
Coupe Automatic,19/26,Premium Unleaded V-6 3.7 L,$32115
Coupe Manual Sport,18/26,Premium Unleaded V-6 3.7 L,$34395
Coupe Automatic Sport,19/26,Premium Unleaded V-6 3.7 L,$35695
Coupe Manual Sport Tech,18/26,Premium Unleaded V-6 3.7 L,$37895
Coupe Manual Touring,18/26,Premium Unleaded V-6 3.7 L,$38795
Coupe Automatic Sport Tech,19/26,Premium Unleaded V-6 3.7 L,$39195
Coupe Automatic Touring,19/26,Premium Unleaded V-6 3.7 L,$40095
Coupe Manual NISMO,18/26,Premium Unleaded V-6 3.7 L,$42815
Coupe Automatic NISMO,19/26,Premium Unleaded V-6 3.7 L,$44115
Coupe Manual NISMO Tech,18/26,Premium Unleaded V-6 3.7 L,$46315
Coupe Automatic NISMO Tech,19/26,Premium Unleaded V-6 3.7 L,$47615
