Item,Current Price,New Price,Change
Super Elmar-S 24mm f/3.5 ASPH,$8950,$9250,$300
Elmarit-S 30mm f/2.8 ASPH,$7495,$7650,$155
Elmarit-S 30mm f/2.8 ASPH CS,$8350,$8750,$400
Summarit-S 35mm f/2.5 ASPH,$6950,$7250,$300
Summarit-S 35mm f/2.5 ASPH CS,$7950,$8450,$500
Elmarit-S 45mm f/2.8 ASPH,$6350,$6750,$400
Elmarit-S 45mm f/2.8 ASPH CS,$7450,$7950,$500
Summarit-S 70mm f/2.5 ASPH CS,$5995,$6250,$255
APO-Macro-Summarit-S 120mm f/2.5,$6995,$7250,$255
TS-APO-Elmar-S 120mm f/5.6 ASPH,$7350,$7550,$200
APO-Tele-Elmar-S 180mm f/3.5,$6995,$7250,$255
Vario Elmar-S 30-90mm f/3.5-56 ASPH,$11400,$11750,$350
APO-Summicron-M 50mm ASPH,$7350,$8250,$900
Silverline 8x20,$899,$949,$50
Silverline 8x42,$1799,$1899,$100
Silverline 10x42,$1899,$1999,$100
