2012 Average Monthly Low Temperature,Hialeah, FL,Florida,United States
Avg. Annual Low Temperature,69.0 ┬░F,61.0 ┬░F,N/A
Avg. January Low Temperature,58.1 ┬░F,47.4 ┬░F,N/A
Avg. February Low Temperature,59.0 ┬░F,49.1 ┬░F,N/A
Avg. March Low Temperature,62.4 ┬░F,53.8 ┬░F,N/A
Avg. April Low Temperature,66.0 ┬░F,58.2 ┬░F,N/A
Avg. May Low Temperature,69.8 ┬░F,64.2 ┬░F,N/A
Avg. June Low Temperature,73.2 ┬░F,70.0 ┬░F,N/A
Avg. July Low Temperature,74.5 ┬░F,71.7 ┬░F,N/A
Avg. August Low Temperature,74.9 ┬░F,71.9 ┬░F,N/A
Avg. September Low Temperature,74.2 ┬░F,70.3 ┬░F,N/A
Avg. October Low Temperature,70.6 ┬░F,63.1 ┬░F,N/A
Avg. November Low Temperature,65.0 ┬░F,54.7 ┬░F,N/A
Avg. December Low Temperature,59.8 ┬░F,48.8 ┬░F,N/A
