Country,Land area (km2) [49],GDP nominal (US$M)[50],Per capita GDP (US$)[51],Population[52],Government[53],Conscription[54]
Albania,27398,$11800,$2949.57,2994667,Parliamentary Democracy,No (abolished in 2010[55])
Algeria,2381740,$159000,$3948.01,34994937,Republic,Yes
Angola,1246700,$85810,$5003.43,13338541,Republic; Multiparty Presidential Regime,Yes
Argentina,2736690,$351000,$8662.99[56],41769726,Republic,No. Voluntary; conscription may be ordered for specified reasons; per Public Law No.24.429 promulgated on 5 January 1995.
Australia,7617930,$1220000,$44474.51,21766711,Federal Parliamentary Democracy,No (abolished by parliament in 1972[57])
Austria,82444,$366300,$45598.77,8217280,Federal Republic,Yes (Alternative service available)[58]
Bahamas,10070,$7538,$21547.17,313312,Constitutional Monarchy with a parliamentary system of government,No
Bangladesh,133910,$100100,$481.36,158570535,Parliamentary Democracy,No
Belgium,30278,$461300,$43648.01,10431477,Federal Parliamentary Democracy under Constitutional Monarchy,Conscription was abolished as of 1 January 1994 under the so-called Delacroix Bill of 6 July 1993[59]) Suspended (conscription suspended as of 1 January 1994)[citation needed]
Belize,22806,$1431,$4327.67,321115,Parliamentary Democracy,No. Military service is voluntary.
Bhutan,47000,$1397,$561.89,708427,Constitutional Monarchy,No[60]
Bolivia,1084390,$19180,$1446.41,10118683,Republic,Yes (when annual number of volunteers falls short of goal[61])
Bosnia and Herzegovina,51197,$16320,$3246.78,4622163,Emerging Federal Democratic Republic,No (Abolished on January 1 2006.[62])
Brazil,8456510,$2024000,$6915.40,203429773,Federal Republic,Yes
Bulgaria,110550,$44840,$5409.09,7093635,Parliamentary Democracy,No (abolished by law on January 1 2008[63])
Burma,657740,$35650,$285.60,53999804,Military Junta,sources differ Yes but not enforced as of January 2011[update].[64][65][66][67][68] No (FWCC[69])
Canada,9984670,$1334140,$40457,34733000,Federal Parliamentary Democracy,No
Chile,748800,$199200,$10058.50,16888760,republic,Yes
China People's Republic of,9326410,$5745000,$2459.43,1336718015,Communist State,No Legal under Constitution but has not yet been practiced in history
Croatia,56414,$59920,$11430.32,4483804,presidential/parliamentary democracy,No (abolished by law in 2008[70])
Cuba,110860,$57490,$4000.34,11087330?,Communist state,Yes
Cyprus,9240,$22750,$27014.79,1120489,republic[71],Yes (Alternative service available[72][73][74])
Denmark,42394,$311900,$57039.71,5529888,constitutional monarchy,Yes (Alternative service available[72][73][75])
Djibouti,22980,$1139,$1694.29,757074,republic,No
Ecuador,276840,$56500,$3211.76,15007343,republic,Yes
Egypt,995450,$127900,$1592.08,81713520,republic,Yes
El Salvador,20720,$21800,$2931.75,6071774,republic,No. Legal not practiced.
Finland,304473,$238000,$46769.47,5259250,republic,Yes (Alternative service available)
France,640053[76],$2555000,$35240.62,65102719,republic,No (suspended in 2001[77])
Gambia The,10000,$1040,$386.77,1797860,republic,No
Germany,349223,$3306000,$40315.05,81471834,federal parliamentary republic,No (abolished for peacetime by federal legislature effective from 1 July 2011[78])
Greece,130800,$302000,$29384.60,10760136,parliamentary republic,Yes
Grenada,344,$645,$6557.67,108419,parliamentary democracy,No (no military service)
Hungary,92340,$132300,$13901.01,9976062,parliamentary democracy,No (Peacetime conscription abolished in 2004[79])
India,2973190,$1099000,$972.68,1147995904,federal republic,No
Indonesia,1826440,$695100,$1844.53,245613043,republic,sources differ Yes selective conscription (FWCC[69]) No[80][81][82]
Iran,1636000,$337900,$4497.11,77891220,theocratic republic,Yes
Israel,20330,$201300,$25191.86,7473052,parliamentary democracy,Yes
Jamaica,10831,$13740,$4032.18,2868380,constitutional parliamentary democracy,No
Japan,374744,$5391000,$34402.26,126475664,constitutional monarchy with a parliamentary government,No
Jordan,91971,$27130,$2644.89,6508271,constitutional monarchy,sources differ Yes. The government decided in 2007 to reintroduce conscription which had been suspended in 1999.[83] No. Suspended indefinitely in 1992 and all members of the armed forces are regular volunteers.[54] No. Conscription at age 18 was suspended in 1999 although all males under age 37 are required to register.[84]
Korea North,120538[85],$28000[85],$1800.00[85],24457492[85],Communist state one-man dictatorship[85],Yes[85][86]
Korea South,98190,$986300,$19514.81,48754657,republic,Yes
Kuwait,17820,$117300,$44421.22,2595628,constitutional emirate,Yes
Lebanon,10230,$39150,$6276.90,4143101,Sources differ[89],No (abolished in 2007)[88])
Libya,1759540,$77910,$9451.85,6597960,Caretaker government as of October 2011[update][90],Yes
Lithuania,65300[91],$35730,$10725.96,3535547,parliamentary democracy,No (Suspended on September 15 2008[92])
Luxembourg,2586,$52430,$104451.69,503302,constitutional monarchy,No
Macedonia Republic of,24856,$9170,$3646.55,2077328,parliamentary democracy,No (abolished in 2006)[93]
Malaysia,328550,$219000,$7513.71,28728607,constitutional monarchy,No
Maldives,300,$1433,$2842.58,394999,republic,No
Malta,316,$7801,$18460.73,408333,republic,No
Mexico,1923040,$1004000,$8218.88,113724226,federal republic,Yes
Moldova,33371,$5357,$978.36,4314377,republic,Yes
Nepal,143181,$15110,$333.09,29391883,democratic republic,No
Netherlands,33883,$770300,$46389.35,16847007,constitutional monarchy,No. Legal suspended since 1997 (except for Cura?ao and Aruba[citation needed]). [94] See also: Conscription in the Netherlands
New Zealand,268021,$138000,$31124.18,4290347,parliamentary democracy,No Conscription Abolished in December 1972.
Norway,307442,$413500,$84595,4691849,constitutional monarchy,Yes
Pakistan,778720,$174800,$872.88,187342721,federal republic,No
Philippines,298170,$188700,$1582.17,101833938,republic,Yes. Legal.[95] Practiced selectively and only rarely.[96] However military training (known as Citizenship Advancement Training or CAT formerly known as Citizen's Army Training) is required as a prerequisite for graduation from high school. CAT is considered a subject in high school that lasts up to 2 hours per week.
Poland,304459,$470000,$10911.71,38441588,republic,No[97]
Qatar,11437,$126500,$74688.97,848016,emirate,No
Romania,230340,$158400,$7451.95,21904551,republic,No (ended in 2007[98])
Russia,16995800,$1290000,$9124.49,140702096,federation,Yes (Alternative service available[citation needed])
Rwanda,24948,$5693,$335.10,10186063,republic; presidential,No
Saudi Arabia,2149690,$434400,$13622.68,26131703,monarchy,No
Seychelles,455,$919,$8669.64,89188,republic,Yes
Singapore,682.7,$233900,$35427.12,4740737,parliamentary republic,Yes
Slovenia,20151,$46440,$22933.99,2000092,parliamentary republic,No[99]
South Africa,1219912,$354400,$6423.04,49004031,republic,No (ended in 1994 formalized in 2002)[100]
Spain,499542,$1375000,$35576.37,46754784,parliamentary monarchy,No (abolished by law on December 31 2001[101])
Swaziland,17203,$3165,$2591.20,1370424,monarchy,No
Switzerland,39770,$522400,$56111.06,7639961,a confederation only in name legally and structurally a federal republic,Yes
Syria,184050,$59630,$1954.98,19747586,republic under an authoritarian military-dominated regime,Yes
Taiwan (Republic of China) [102],32260,$427000,$16768.11,23071779,multiparty democracy,Yes (alternative service available[103]) An all-volunteer force is planned by the end of 2014 but conscription will remain in practice thereafter.[104]
Thailand,511770,$312600,$3776.0,66720153,constitutional monarchy,Yes
Tonga,718,$301,$1873.06,105916,constitutional monarchy,No
Trinidad and Tobago,5128,$21200,$19590.99,1227505,parliamentary democracy,No
Turkey,770760,$729100,$9322.83,78785548,republican parliamentary democracy,Yes
United Kingdom,241590,$2259000,$45626.38,62698362,constitutional monarchy and Commonwealth realm,No (except Bermuda Regiment[105])
