Country,Population,Members,Pop/Mem Ratio,
Afghanistan,32738,3,10913,
Iran Islamic Republic of,72212,29,2490,
Morocco,31177,14,2227,
Turkey,74766,80,935,
Algeria,34694,40,867,
Mauritania,3204,7,458,
Tunisia,10337,28,369,
Iraq,29492,173,170,
Egypt,74946,753,100,
Libyan Arab Jamahiriya,6283,72,87,
Oman,2719,38,72,
Niger,14731,227,65,
Turkmenistan,5180,91,57,
Jordan,5849,188,31,
Korea Democratic People's Republic of,23479,866,27,
Senegal,12688,485,26,
Uzbekistan,27199,1220,22,
Greece,11242,509,22,
Bahrain,780,39,20,
Ireland,4475,253,18,
Kuwait,2669,167,16,
Malta,412,27,15,
Cyprus,1060,72,15,
United Arab Emirates,4486,309,15,
Pakistan,172800,12433,14,
Qatar,928,71,13,
Azerbaijan,8679,701,12,
Georgia,4639,380,12,
Tajikistan,7285,631,12,
Albania,3241,322,10,
Lebanon,3981,389,10,
Eritrea,5006,521,10,
Viet Nam,86185,9471,9,
Guinea,10302,1287,8,
Andorra,85,10,9,
Israel,7482,883,8,
Japan,127720,15299,8,
Mali,12716,1452,9,
Italy,59865,8648,7,
Luxembourg,488,77,6,
Congo,3847,636,6,
Poland,38110,5748,7,
Thailand,66148,12551,5,
Bosnia and Herzegovina,3843,695,6,
Bangladesh,147285,29193,5,
Belgium,10695,1900,6,
Sri Lanka,20296,3681,6,
Kazakhstan,15651,3278,5,
Kyrgyzstan,5242,1096,5,
Burkina Faso,15213,3480,4,
Gibraltar,29,7,4,
France,62046,12649,5,
Taiwan (China),23002,5548,4,
Timor-Leste,1081,306,4,
Slovenia,2034,558,4,
Netherlands,16433,4843,3,
Macedonia The Former Yugoslav Republic of,2049,587,3,
Sweden,9214,2789,3,
Spain,46501,14608,3,
Armenia,3084,900,3,
China,1324708,370317,4,
Lao People's Democratic Republic,5850,1865,3,
Lithuania,3357,876,4,
Nepal,26997,6846,4,
Macao Special Administrative Region (China),551,210,3,
Montenegro,627,256,2,
Cambodia,14656,5935,2,
Aland Islands,27,10,3,
Hungary,10034,4694,2,
Benin,9309,4433,2,
Austria,8352,3871,2,
Germany,82170,35651,2,
Denmark,5490,2482,2,
United Kingdom of Great Britain and Northern Ireland,61291,28791,2,
Russian Federation,141875,52067,3,
Slovakia,5405,2347,2,
Chad,10111,3393,3,
Sudan,39445,15354,3,
Wallis and Futuna Islands,16,6,3,
Singapore,4790,2542,2,
Serbia,9545,6652,1,
Norway,4762,4653,1,
Portugal,10621,9332,1,
Gambia,1559,1203,1,
Czech Republic,10428,7514,1,
Finland,5285,5064,1,
Bulgaria,7621,7598,1,
Belarus,9678,5115,2,
Switzerland,7633,4311,2,
Cote d'Ivoire,20677,11574,2,
Indonesia,239945,197621,1,
Hong Kong Special Administrative Region (China),6990,4401,2,
Croatia,4433,2970,1,
Myanmar,49221,26797,2,
Mongolia,2655,1399,2,
Madagascar,18912,108066,0,
Marshall Islands,53,683,0,
Moldova Republic of,4136,11079,0,
Mauritius,1268,4273,0,
Malawi,13630,305090,0,
Mexico,107677,616521,0,
Malaysia,27711,50569,1,
Mozambique,20387,236740,0,
Namibia,2089,17104,0,
New Caledonia,247,672,0,
Northern Mariana Islands,87,231,0,
Martinique,405,14724,0,
Montserrat,10,1165,0,
Norfolk Island,2,43,0,
Nigeria,148071,266705,1,
Nicaragua,5669,102307,0,
Nauru,10,20,1,
Niue,1,14,0,
New Zealand,4272,10569,0,
Panama,3391,86944,0,
Peru,27903,487935,0,
French Polynesia,265,4905,0,
Papua New Guinea,6458,240296,0,
Philippines,90457,620896,0,
Haiti,9104,328029,0,
Honduras,7322,219697,0,
India,1149285,1422326,1,
Iceland,319,561,1,
Jamaica,2692,239998,0,
Kenya,37954,620520,0,
Kiribati,98,2056,0,
Saint Kitts and Nevis,48,2087,0,
Cayman Islands,54,3846,0,
Korea Republic of,48607,209017,0,
Saint Lucia,171,15064,0,
Liberia,3942,24530,0,
Lesotho,1801,6428,0,
Latvia,2266,3950,1,
Cook Islands,11,769,0,
Chile,16770,125420,0,
Cameroon,18468,107946,0,
Colombia,44447,263293,0,
Costa Rica,4519,60338,0,
Cuba,11233,29096,0,
Cape Verde,503,6208,0,
Belize,318,32091,0,
Canada,33304,59354,1,
Congo Democratic Republic of the,66515,525849,0,
Central African Republic,4435,9521,0,
Bermuda,64,3707,0,
Bolivia Plurinational State of,10028,209130,0,
Brazil,195138,1227005,0,
Bahamas,337,17576,0,
Botswana,1842,28601,0,
Australia,21348,54130,0,
Aruba,105,676,0,
Barbados,280,17759,0,
Netherlands Antilles,199,8489,0,
Angola,16752,340126,0,
Argentina,39746,102320,0,
American Samoa,70,1797,0,
Antigua and Barbuda,86,8159,0,
Anguilla,15,767,0,
Fiji,864,28241,0,
Micronesia (Federated States of),108,1159,0,
Faeroe Islands,48,61,1,
Ethiopia,79087,167961,0,
Burundi,8856,113929,0,
Dominica,73,6600,0,
Dominican Republic,9890,252703,0,
Guadeloupe,456,12034,0,
Equatorial Guinea,617,2268,0,
Guatemala,13677,206875,0,
Guam,177,1232,0,
Guinea-Bissau,1746,1967,1,
Guyana,773,53020,0,
Grenada,106,12663,0,
French Guiana,207,2308,0,
Ghana,23947,346682,0,
Gabon,1350,3258,0,
Ecuador,13801,76437,0,
Estonia,1340,1683,1,
Palau,20,876,0,
Paraguay,6230,15318,0,
Reunion,812,1393,1,
Romania,21498,67393,0,
Puerto Rico,3958,36620,0,
Saint Helena,6,80,0,
Rwanda,9609,445556,0,
Solomon Islands,507,39252,0,
Seychelles,87,852,0,
Tokelau,1,4,0,
Tonga,102,2288,0,
Togo,6761,10474,1,
Sierra Leone,5450,17433,0,
Suriname,500,3724,0,
Sao Tome and Principe,158,2261,0,
El Salvador,7218,188372,0,
Swaziland,1129,4894,0,
Turks and Caicos Islands,37,1804,0,
Samoa,188,5783,0,
South Africa,48315,86557,1,
Zambia,12197,612644,0,
Zimbabwe,13481,570754,0,
Vanuatu,240,16499,0,
Trinidad and Tobago,1338,61987,0,
Tuvalu,10,139,0,
Tanzania United Republic of,40213,406850,0,
Ukraine,46237,61035,1,
Uganda,29194,193210,0,
United States of America,304487,1021884,0,
Uruguay,3334,6955,0,
Saint Vincent and the Grenadines,110,13512,0,
Venezuela Bolivarian Republic of,27935,197257,0,
British Virgin Islands,23,1432,0,
United States Virgin Islands,108,7958,0,
