World rank,City,Country,City population,Metro population,Mayor
64,KABUL,Afghanistan,3586000,4000000,Mohammad Yunus Noandesh
211,ALGIERS,Algeria,1520000,3354000,Tayeb Zitouni
547,Oran,Algeria,683000,772000,Saddek Benkada
41,LUANDA,Angola,4799000,5500000,Josщ Maria Ferraz dos Santos
6,BUENOS AIRES,Argentina,11655000,12924000,Mauricio Macri
288,Cordoba,Argentina,1310000,1528000,Daniel Giacomino
307,La Matanza,Argentina,1255000,,n/k
343,Rosario,Argentina,1160000,1358000,Miguel Lifschitz
535,La Plata,Argentina,710000,833000,Pablo Bruera
n/r,Tucuman,Argentina,528000,830000,Domingo Amaya
n/r,Mendoza,Argentina,113000,849000,Vэctor Fayad
365,YEREVAN,Armenia,1108000,1246000,Gagik Beglaryan
48,Sydney,Australia,4400000,,Clover Moore
61,Melbourne,Australia,3635000,33635000,Robert Doyle
193,Perth,Australia,1603000,,Lisa Scaffidi
204,Brisbane,Australia,1544000,1544000,Campbell Newman
296,Adelaide,Australia,1290000,,Stephen Yarwood
180,VIENNA,Austria,1681000,2269000,Michael Hфupl
138,BAKU,Azerbaijan,2040000,2072000,Hajibala Abutalybov
19,DHAKA,Bangladesh,7940000,12797000,Sadeque Hossain Khosa
100,Chittagong,Bangladesh,2580000,3858000,Mohammed Manjur Alam
463,Khulna,Bangladesh,856000,1388000,Talukder Abdul Khaleque
155,MINSK,Belarus,1831000,,Nikolai Ladutko
427,BRUSSELS,Belgium,958000,1740000,Freddy Thielemans
n/r,Antwerp,Belgium,444000,948000,Patrick Janssens
n/r,Gent,Belgium,233000,,Daniыl Termont
n/r,Bruges,Belgium,117000,,Patrick Moenaert
196,Santa Cruz,Bolivia,1595000,1863000,Percy Fernandez
212,LA PAZ,Bolivia,1517000,1551000,Luis Antonio Revilla Herrero
568,Cochabamba,Bolivia,608000,798000,n/k
9,Sao Paulo,Brazil,11038000,19890000,Gilberto Kassab
31,Rio de Janeiro,Brazil,6093000,14387000,Eduardo Paes
79,Salvador da Bahia,Brazil,2998000,3173000,Joуo Henrique Carneiro
108,Fortaleza,Brazil,2506000,3415000,Luizianne Lins
114,Belo Horizonte,Brazil,2453000,5397000,Marcio Lacerda
134,BRASILIA,Brazil,2089000,2090000,Josщ Roberto Arruda
153,Curitiba,Brazil,1851000,3261000,Carlos Richa
173,Manaus,Brazil,1739000,1924000,Amazonino Mendes
200,Recife,Brazil,1561000,3769000,Joуo da Costa Bezerra Filho
251,Belem,Brazil,1409000,1913000,Duciomar Costa
273,Porto Alegre,Brazil,1355000,3646000,Josщ Fortunati
300,Guarulhos,Brazil,1283000,1500000,Sebastiуo Moreira
301,Goiania,Brazil,1282000,2064000,═ris Rezende Machado
386,Campinas,Brazil,1059000,3200000,Hщlio de Oliveira Santos
417,Sao Luis,Brazil,987000,1228000,Joуo Castelo
419,Sao Goncalo,Brazil,973000,1.221000,n/k
437,Maceio,Brazil,922000,1100000,Josщ Cэcero Soares de Almeida
453,Teresina,Brazil,893000,949000,Silvio Mendes
462,Duque de Caxias,Brazil,864000,1000000,Josщ Camilo Zito dos Santos Filho
469,Nova Iguacu,Brazil,846000,959000,Lindberg Farias
503,Natal,Brazil,790000,1100000,n/k
507,Sao Bernardo do Campo,Brazil,783000,,Luiz Marinho
538,Joao Pessoa,Brazil,702000,984000,Ricardo Coutinho
567,Sao Jose dos Campos,Brazil,611000,794000,Eduardo Cury
591,Ribeirao Preto,Brazil,547000,789000,Dсrcy Vera
n/r,Santos,Brazil,418000,1477000,Joуo Paulo Tavares Papa
