Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,Gross Patient Revenue ($000)
6th Medical Group - MacDill Air Force Base,MacDill Air Force Base,0,0,0,$0
96th Medical Group - United States Air Force Eglin Regional Hospital,Eglin Air Force Base,0,0,0,$0
Aventura Hospital and Medical Center,Aventura,407,20016,94099,$1474042
Baptist Hospital,Pensacola,514,12698,63883,$954338
Baptist Hospital of Miami,Miami,658,35273,187353,$3200363
Baptist Medical Center Beaches,Jacksonville Beach,146,7663,34989,$412420
Baptist Medical Center Downtown,Jacksonville,815,35656,196180,$2446002
Baptist Medical Center Nassau,Fernandina Beach,54,2920,11597,$170085
Baptist Medical Center South,Jacksonville,0,0,0,$0
Bartow Regional Medical Center,Bartow,72,5205,19667,$304140
Bascom Palmer Eye Institute,Miami,56,129,512,$290105
Bay Medical,Panama City,323,16075,73444,$885854
Bay Pines VA Healthcare System,Bay Pines,0,0,0,$0
Bayfront Medical Center,Saint Petersburg,391,16317,89116,$1188225
Bert Fish Medical Center,New Smyrna Beach,112,4396,19325,$235662
Bethesda Memorial Hospital,Boynton Beach,401,18853,96123,$1284760
Blake Medical Center,Bradenton,383,12066,52338,$762747
Boca Raton Community Hospital,Boca Raton,369,15799,78072,$1430147
Brandon Regional Hospital,Brandon,345,25006,95134,$1754761
Brooksville Regional Hospital,Brooksville,244,12806,54844,$958293
Broward General Medical Center,Fort Lauderdale,640,26723,146185,$1836106
Cape Canaveral Hospital,Cocoa Beach,150,6039,30065,$402058
Cape Coral Hospital,Cape Coral,291,16839,68106,$685536
Capital Regional Medical Center,Tallahassee,198,11128,49455,$740885
Central Florida Regional Hospital,Sanford,226,9085,41716,$632086
Charlotte Regional Medical Center,Punta Gorda,208,8223,34403,$569011
Citrus Memorial Hospital,Inverness,198,10370,44235,$707057
Cleveland Clinic in Florida - Weston,Weston,155,10761,41451,$665190
Columbia Hospital,West Palm Beach,240,5737,20973,$472621
Community Hospital,New Port Richey,302,12853,55582,$982022
Coral Gables Hospital,Coral Gables,245,5824,28839,$474907
Coral Springs Medical Center,Coral Springs,200,12850,52281,$617322
Delray Medical Center,Delray Beach,465,16825,79175,$1508654
DeSoto Memorial Hospital,Arcadia,49,2282,10877,$99416
Doctors Hospital,Coral Gables,281,7442,41171,$717301
Doctors Hospital of Sarasota,Sarasota,168,7153,27191,$539364
Doctors' Memorial Hospital,Perry,48,1308,3964,$50874
Dr. P. Phillips Hospital,Orlando,0,0,0,$0
Ed Fraser Memorial Hospital,MacClenny,92,18,50,$42858
Edward White Hospital,Saint Petersburg,110,3605,16432,$319214
Englewood Community Hospital,Englewood,100,3840,14071,$274723
Fawcett Memorial Hospital,Port Charlotte,238,10438,49202,$956591
Flagler Hospital,Saint Augustine,316,13795,68127,$750369
Florida Hospital Altamonte,Altamonte Springs,0,0,0,$0
Florida Hospital Apopka,Apopka,0,0,0,$0
Florida Hospital Carrollwood,Tampa,109,4661,17702,$392350
Florida Hospital Celebration Health,Celebration,0,0,0,$0
Florida Hospital DeLand,DeLand,156,7890,32988,$429447
Florida Hospital East Orlando,Orlando,0,0,0,$0
Florida Hospital Fish Memorial,Orange City,139,9110,38819,$467956
Florida Hospital Flagler,Palm Coast,99,6280,25693,$429160
Florida Hospital Heartland Medical Center,Sebring,159,11573,47973,$604027
Florida Hospital Kissimmee,Kissimmee,0,0,0,$0
Florida Hospital Lake Placid,Lake Placid,0,0,0,$0
Florida Hospital Memorial Medical Center,Daytona Beach,0,0,0,$0
Florida Hospital Oceanside,Ormond Beach,396,12833,55311,$715830
Florida Hospital Orlando,Orlando,2067,116729,548711,$8014197
Florida Hospital Pepin Heart Institute,Tampa,0,0,0,$0
Florida Hospital Tampa,Tampa,475,20395,104567,$1450929
Florida Hospital Waterman,Tavares,204,13495,55687,$700537
Florida Hospital Zephyrhills,Zephyrhills,154,8942,36178,$671308
Florida State Hospital,Chattahoochee,58,122,5007,$72678
Fort Walton Beach Medical Center,Fort Walton Beach,257,10308,52313,$1174213
Good Samaritan Medical Center,West Palm Beach,333,8387,38264,$530112
Gulf Breeze Hospital,Gulf Breeze,67,4251,16482,$304947
Gulf Coast Medical Center,Panama City,176,12986,43939,$929555
Gulf Coast Medical Center,Fort Myers,349,23019,97473,$1015964
H. Lee Moffitt Cancer Center & Research Institute,Tampa,206,8710,53662,$1427776
Health Central,Ocoee,171,11728,46728,$547614
Healthmark Regional Medical Center,Defuniak Springs,50,1300,4118,$32547
HealthPark Medical Center,Fort Myers,0,0,0,$0
Heart of Florida Regional Medical Center,Davenport,194,11910,44362,$770180
Helen Ellis Memorial Hospital,Tarpon Springs,168,4831,19439,$253459
Hialeah Hospital,Hialeah,362,11842,57944,$736277
Highlands Regional Medical Center,Sebring,126,5498,22867,$281353
Holmes Regional Medical Center,Melbourne,666,29033,166588,$1846462
Holy Cross Hospital,Fort Lauderdale,571,17237,83180,$1674177
Homestead Hospital,Homestead,142,10904,44792,$732599
Imperial Point Medical Center,Fort Lauderdale,180,7318,29015,$425742
Indian River Memorial Hospital,Vero Beach,335,13756,62337,$473784
Jackson Hospital,Marianna,88,3342,14721,$123955
Jackson Memorial Hospital,Miami,1724,57431,384289,$4153632
Jackson North Medical Center,North Miami Beach,0,0,0,$0
Jackson South Community Hospital,Miami,0,0,0,$0
James A. Haley Veterans' Hospital,Tampa,0,0,0,$0
Jay Hospital,Jay,55,1188,5357,$49548
JFK Medical Center,Atlantis,448,26589,115201,$2239441
Jupiter Medical Center,Jupiter,163,10089,46800,$778496
Kendall Regional Medical Center,Miami,412,17298,75778,$1383071
Kindred Hospital Melbourne,Melbourne,60,122,3228,$14204
Lake City Medical Center,Lake City,67,4429,19801,$276781
Lake City VA Medical Center,Lake City,0,0,0,$0
Lake Wales Medical Center,Lake Wales,131,6017,22611,$369337
Lakeland Regional Medical Center,Lakeland,851,39283,180512,$2213354
Lakeside Medical Center,Belle Glade,70,2996,12189,$124936
Lakewood Ranch Medical Center,Lakewood Ranch,120,4965,15046,$232345
Largo Medical Center,Largo,380,16697,78330,$1392144
Larkin Community Hospital,South Miami,130,6320,29102,$204887
Lawnwood Regional Medical Center & Heart Institute,Fort Pierce,341,14480,72627,$1359408
Lee Memorial Hospital,Fort Myers,931,38119,176015,$1868241
Leesburg Regional Medical Center,Leesburg,309,17452,73696,$821405
Lehigh Regional Medical Center,Lehigh Acres,88,3937,15724,$267050
Lower Keys Medical Center,Key West,152,5098,17953,$229597
Lucerne Hospital,Orlando,0,0,0,$0
M.D. Anderson Cancer Center Orlando,Orlando,0,0,0,$0
Malcom Randall VA Medical Center,Gainesville,0,0,0,$0
Manatee Memorial Hospital,Bradenton,319,17210,73413,$829660
Martin Memorial Hospital South,Stuart,0,0,0,$0
Martin Memorial Medical Center,Stuart,344,18027,75916,$1335558
Mayo Clinic Florida,Jacksonville,214,11832,58280,$871121
Mayo Clinic Hospital,Jacksonville,0,0,0,$0
Mease Countryside Hospital,Safety Harbor,307,17394,73248,$901509
Mease Dunedin Hospital,Dunedin,124,5894,26482,$340225
Medical Center of Daytona Beach,Daytona Beach,550,22675,109972,$1101180
Medical Center of Port Orange,Port Orange,0,0,0,$0
Memorial Hospital,Jacksonville,415,20400,118647,$2016547
Memorial Hospital Miramar,Miramar,178,10132,42561,$681502
Memorial Hospital of Tampa,Tampa,180,4328,18308,$288843
Memorial Hospital Pembroke,Pembroke Pines,301,6359,28373,$644773
Memorial Hospital West,Pembroke Pines,304,21386,101622,$1705009
Memorial Regional Hospital,Hollywood,993,34817,187931,$3134352
Memorial Regional Hospital South,Hollywood,0,0,0,$0
Mercy Hospital,Miami,343,14517,73169,$1094492
Metropolitan Hospital of Miami,Miami,146,4765,20468,$184456
Miami Jewish Health Systems,Miami,494,437,2160,$77052
Miami VA Healthcare System - Bruce W. Carter Department of Veterans Affairs Medical Center,Miami,0,0,0,$0
Morton Plant Hospital,Clearwater,666,25691,104639,$1533462
Morton Plant North Bay Hospital,New Port Richey,226,5899,26510,$301249
Mount Sinai Medical Center,Miami Beach,668,19379,117503,$1865143
Munroe Regional Medical Center,Ocala,399,24235,111236,$1292403
Naval Hospital Jacksonville,Jacksonville,0,0,0,$0
Naval Hospital Pensacola,Pensacola,0,0,0,$0
NCH Downtown Naples Hospital,Naples,681,36459,134771,$1390147
NCH North Naples Hospital,Naples,0,0,0,$0
North Broward Medical Center,Deerfield Beach,343,13369,67681,$827015
North Florida Regional Medical Center,Gainesville,325,24096,108307,$2144666
North Okaloosa Medical Center,Crestview,110,6249,22536,$610129
North Shore Medical Center,Miami,778,23416,128476,$1553639
North Shore Medical Center - FMC Campus,Fort Lauderdale,434,9083,49815,$839316
Northside Hospital & Tampa Bay Heart Institute,Saint Petersburg,227,9822,49487,$864161
Northwest Medical Center,Margate,215,13235,52872,$880473
Oak Hill Hospital,Brooksville,224,13763,60888,$1271156
Ocala Regional Medical Center,Ocala,270,15385,65729,$1140380
Orange Park Medical Center,Orange Park,255,14656,68685,$1442447
Orlando Regional Medical Center,Orlando,1401,94474,415164,$5712584
Osceola Regional Medical Center,Kissimmee,235,17107,78457,$1491939
Palm Bay Community Hospital,Palm Bay,0,0,0,$0
Palm Beach Gardens Medical Center,Palm Beach Gardens,199,9818,50046,$858565
Palm Springs General Hospital,Hialeah,247,7213,37571,$234281
Palmetto General Hospital,Hialeah,360,20210,102029,$1433270
Palms of Pasadena Hospital,Saint Petersburg,307,4616,21650,$282611
Palms West Hospital,Loxahatchee,175,12330,50132,$769062
Parrish Medical Center,Titusville,210,7766,37953,$528401
Pasco Regional Medical Center,Dade City,120,4941,15651,$334194
Peace River Regional Medical Center,Port Charlotte,189,9421,42962,$501156
Physicians Regional - Collier Boulevard,Naples,0,0,0,$0
Physicians Regional - Pine Ridge,Naples,201,8659,34037,$729015
Plantation General Hospital,Plantation,264,18155,55986,$644360
Putnam Community Medical Center,Palatka,99,5484,27381,$245301
Raulerson Hospital,Okeechobee,100,4791,21114,$276180
Reception and Medical Center,Lake Butler,0,0,0,$0
Regional Medical Center Bayonet Point,Hudson,268,13951,64123,$1145609
Sacred Heart Hospital,Pensacola,466,29612,124978,$1366000
Sacred Heart Hospital on the Emerald Coast,Miramar Beach,55,4694,13752,$351657
Sacred Heart Hospital on the Gulf,Port Saint Joe,19,561,1642,$25980
Saint Anthony's Hospital,Saint Petersburg,280,13162,61958,$643939
Saint Cloud Regional Medical Center,Saint Cloud,84,4969,20964,$253313
Saint Joseph's Hospital,Tampa,881,54866,231629,$2550669
Saint Joseph's Hospital - North,Lutz,0,0,0,$0
Saint Joseph's Women's Hospital,Tampa,0,0,0,$0
Saint Lucie Medical Center,Port Saint Lucie,229,11572,50467,$834928
Saint Mary's Medical Center,West Palm Beach,463,14539,94524,$1069673
Saint Petersburg General Hospital,Saint Petersburg,219,8904,43435,$744144
Saint Vincent's Medical Center Riverside,Jacksonville,518,26849,126190,$1579212
Saint Vincent's Medical Center Southside,Jacksonville,313,7700,38804,$363540
Santa Rosa Medical Center,Milton,129,4035,14056,$212165
Sarasota Memorial Hospital,Sarasota,786,22919,107630,$1603759
Sebastian River Medical Center,Sebastian,117,5178,21436,$394963
Seven Rivers Regional Medical Center,Crystal River,128,7550,26497,$384152
Shands at the University of Florida,Gainesville,870,42972,224426,$2437782
Shands Jacksonville,Jacksonville,607,30810,151764,$1836668
Shands Lake Shore Regional Medical Center,Lake City,99,4240,18970,$151970
South Bay Hospital,Sun City Center,112,6606,31507,$466246
South Florida Baptist Hospital,Plant City,147,6834,25757,$349017
South Lake Hospital,Clermont,104,7629,28251,$508835
South Miami Hospital,South Miami,444,15562,90088,$1580026
South Seminole Hospital,Longwood,0,0,0,$0
Spring Hill Regional Hospital,Spring Hill,0,0,0,$0
Sun Coast Hospital - Largo Medical Center,Largo,177,4886,22705,$199048
Sylvester Comprehensive Cancer Center/UMHC,Miami,40,1358,7673,$967366
Tallahassee Memorial Hospital,Tallahassee,603,25369,110628,$1396970
Tampa General Hospital,Tampa,915,36709,251633,$4164666
The Villages Regional Hospital,The Villages,192,10548,43776,$429035
Town and Country Hospital,Tampa,201,4476,20674,$281501
Tri-County Hospital Williston,Williston,20,573,1191,$11563
Twin Cities Hospital,Niceville,57,2042,7227,$253687
University Hospital and Medical Center,Tamarac,317,7309,31377,$551302
University of Miami Hospital,Miami,506,19331,117184,$1445409
Venice Regional Medical Center,Venice,312,11373,50682,$729106
Viera Hospital,Viera,0,0,0,$0
Wellington Regional Medical Center,Wellington,158,13111,46815,$590063
West Boca Medical Center,West Boca Raton,195,9972,46008,$483662
West Florida Hospital,Pensacola,531,11468,54009,$964341
West Kendall Baptist Hospital,Miami,0,0,0,$0
West Marion Community Hospital,Ocala,0,0,0,$0
West Palm Beach VA Medical Center,West Palm Beach,0,0,0,$0
Westchester General Hospital,Miami,197,5930,34770,$166177
Westside Regional Medical Center,Plantation,224,13235,56638,$940611
Winter Haven Hospital,Winter Haven,527,16114,73581,$1035296
Winter Park Memorial Hospital,Winter Park,0,0,0,$0
Wuesthoff Medical Center - Melbourne,Melbourne,115,6172,25500,$250933
Wuesthoff Medical Center - Rockledge,Rockledge,291,12481,56812,$569969
T O T A L,,53155,2372982,11142895,$160491061
