Rank,Airport,Location,Code (IATA),Total Passengers,% Change
1.,London Heathrow Airport,Hillingdon Greater London United Kingdom,LHR,60964323,1.5%
2.,Paris-Charles de Gaulle Airport,Seine-et-Marne/Seine-Saint-Denis/Val-d'Oise ?le-de-France France,CDG,48551870,5.0%
3.,Frankfurt Airport,Frankfurt Hesse Germany,FRA,44756469,3.2%
4.,Amsterdam Airport Schiphol,Haarlemmermeer North Holland The Netherlands,AMS,43881540,4.0%
5.,Hong Kong International Airport,New Territories Hong Kong,HKG,39593000,10.2%
6.,Singapore Changi Airport,Changi East Region Singapore,SIN,30577724,7.8%
7.,London Gatwick Airport,Crawley West Sussex South East England United Kingdom,LGW,28710566,5.2%
8.,Narita International Airport,Narita Chiba Kant? Honsh? Japan,NRT,27115822,2.4%
9.,Bangkok International Airport,Bangkok Thailand,BKK,26768772,4.5%
10.,Incheon International Airport,Incheon South Korea,ICN,25541362,9.0%
11.,Dubai International Airport,Dubai United Arab Emirates,DXB,23607507,15.9%
12.,Barajas Airport,Barajas Madrid Madrid (autonomous community) Spain,MAD,22107466,10.6%
13.,Munich Airport,Munich Upper Bavaria Bavaria Germany,MUC,19405560,8.3%
14.,Istanbul Ataturk Airport[5],Istanbul Turkey,IST,19293769,10%
15.,London Stansted Airport,Uttlesford Essex East England United Kingdom,STN,19257502,6.6%
16.,Taoyuan International Airport,Taoyuan Taiwan Republic of China,TPE,19158638,9.0%
17.,Manchester Airport,Greater Manchester North West England United Kingdom,MAN,18690695,6.1%
18.,John F. Kennedy International Airport,Queens New York City New York United States,JFK,18534215,7.1%
19.,Copenhagen Airport,T?rnby Hovedstaden Denmark,CPH,17964538,5.0%
20.,Dublin Airport,Fingal Dublin Leinster Ireland,DUB,17571677,8.0%
21.,Los Angeles International Airport,Westchester Los Angeles California United States,LAX,17469927,6.6%
22.,Z?rich Airport,Kloten Z?rich Switzerland,ZRH,17265955,3.9%
23.,Toronto Pearson International Airport,Mississauga Ontario Canada,YYZ,16972867,6.7%
24.,Leonardo da Vinci Airport,Fiumicino Rome Lazio Italy,FCO,16527016,6.9%
25.,Malpensa Airport,Varese Lombardy Italy,MXP,16199824,8.8%
26.,Brussels Airport,Zaventem Flemish Brabant Flanders Belgium,BRU,16060407,3.6%
27.,Antalya Airport,Antalya Turkey,AYT,15864863,13.8%
28.,Son Sant Joan Airport,Palma Majorca Balearic Islands Spain,PMI,15250975,4.3%
29.,Vienna International Airport,Schwechat Lower Austria Austria,VIE,15172072,7.6%
30.,Shanghai Pudong International Airport,Shanghai People's Republic of China,PVG,14542233,16.2%
