Rank,Country / Territory,Population
?#128;?,World,6464750000
1,People's Republic of China,1315844000
2,India,1103371000
3,United States,298213000
4,Indonesia,222781000
5,Brazil,186405000
6,Pakistan,157935000
7,Russia,143202000
8,Bangladesh,141822000
9,Nigeria,131530000
10,Japan,128085000
11,Mexico,107029000
12,Vietnam,84238000
13,Philippines,83054000
14,Germany,82689000
15,Ethiopia,77431000
16,Egypt,74033000
17,Turkey,73193000
18,Iran,69515000
19,Thailand,64233000
20,France,60496000
21,United Kingdom,59668000
22,Italy,58093000
23,Democratic Republic of the Congo,57549000
24,Myanmar,50519000
25,South Korea,47817000
26,South Africa,47432000
27,Ukraine,46481000
28,Colombia,45600000
29,Spain,43064000
30,Argentina,38747000
31,Poland,38530000
32,Tanzania,38329000
33,Sudan,36233000
34,Kenya,34256000
35,Algeria,32854000
36,Canada,32268000
37,Morocco,31478000
38,Afghanistan,29863000
39,Uganda,28816000
40,Iraq,28807000
41,Peru,27968000
42,Nepal,27133000
43,Venezuela,26749000
44,Uzbekistan,26593000
45,Malaysia,25347000
46,Saudi Arabia,24573000
47,Republic of China (Taiwan),22894384[1]
48,North Korea,22488000
49,Ghana,22113000
50,Romania,21711000
51,Yemen,20975000
52,Sri Lanka,20743000
53,Australia,20155000[2]
54,Mozambique,19792000
55,Syria,19043000
56,Madagascar,18606000
57,C?te d'Ivoire,18154000
58,Cameroon,16322000
59,Netherlands,16299000
60,Chile,16295000
61,Angola,15941000
62,Kazakhstan,14825000
63,Cambodia,14071000
64,Niger,13957000
65,Mali,13518000
66,Burkina Faso,13228000
67,Ecuador,13228000
68,Zimbabwe,13010000
69,Malawi,12884000
70,Guatemala,12599000
71,Zambia,11668000
72,Senegal,11658000
73,Cuba,11269000
74,Greece,11120000
75,Serbia and Montenegro,10503000
76,Portugal,10495000
77,Belgium,10419000
78,Czech Republic,10220000
79,Tunisia,10102000
80,Hungary,10098000
81,Belarus,9755000
82,Chad,9749000
83,Guinea,9402000
84,Bolivia,9182000
85,Sweden,9041000
86,Rwanda,9038000
87,Dominican Republic,8895000
88,Haiti,8528000
89,Benin,8439000
90,Azerbaijan,8411000
91,Somalia,8228000
92,Austria,8189000
93,Bulgaria,7726000
94,Burundi,7548000
95,Switzerland,7252000
96,Honduras,7205000
97,Hong Kong (PRC),7041000
98,El Salvador,6881000
99,Israel,6725000
100,Tajikistan,6507000
101,Paraguay,6158000
102,Togo,6145000
103,Laos,5924000
104,Papua New Guinea,5887000
105,Libya,5853000
106,Jordan,5703000
107,Sierra Leone,5525000
108,Nicaragua,5487000
109,Denmark,5431000
110,Slovakia,5401000
111,Kyrgyzstan,5264000
112,Finland,5249000[3]
113,Turkmenistan,4833000
114,Norway,4620000[4]
115,Croatia,4551000
116,United Arab Emirates,4496000
117,Georgia,4474000
118,Eritrea,4401000
119,Costa Rica,4401000
120,Singapore,4326000
121,Moldova,4206000
122,Republic of Ireland,4148000
123,Central African Republic,4038000
124,New Zealand,4028000
125,Republic of the Congo,3999000
126,Puerto Rico (US),3955000
127,Bosnia and Herzegovina,3907000
128,Occupied Palestinian territories,3702000
129,Lebanon,3577000
130,Uruguay,3463000
131,Lithuania,3431000
132,Liberia,3283000
133,Panama,3232000
134,Albania,3130000
135,Mauritania,3069000
136,Armenia,3016000
137,Kuwait,2687000
138,Jamaica,2651000
139,Mongolia,2646000
140,Oman,2567000
141,Latvia,2307000
142,Bhutan,2163000
143,Republic of Macedonia,2034000
144,Namibia,2031000
145,Slovenia,1967000
146,Lesotho,1795000
147,Botswana,1765000
148,Guinea-Bissau,1586000
149,The Gambia,1517000
150,Gabon,1384000
151,Estonia,1330000
152,Trinidad and Tobago,1305000
153,Mauritius,1245000[5]
154,Swaziland,1032000
155,East Timor,947000
156,Fiji,848000
157,Cyprus,835000
158,Qatar,813000
159,Comoros,798000[6]
160,Djibouti,793000
161,R?union (France),785000
162,Guyana,751000
163,Bahrain,727000
164,Cape Verde,507000
165,Equatorial Guinea,504000
166,Solomon Islands,478000
167,Luxembourg,465000
168,Macau (PRC),460000
169,Suriname,449000
170,Guadeloupe (France),448000
171,Malta,402000
172,Martinique (France),396000
173,Brunei,374000
174,Western Sahara,341000
175,Maldives,329000
176,The Bahamas,323000
177,Iceland,295000
178,Barbados,270000
179,Belize,270000
180,French Polynesia (France),257000
181,New Caledonia (France),237000
182,Vanuatu,211000
183,French Guiana (France),187000
184,Samoa,185000
185,Netherlands Antilles (Netherlands),183000
186,Guam (US),170000
187,Saint Lucia,161000
188,S?o Tom? and Pr?ncipe,157000
189,Channel Islands (UK),149000[7]
