Rank,Country,Population,Date of Information
1,World,6446131400,July 2005 est.
2,China,1306313812,July 2005 est.
3,India,1080264388,July 2005 est.
4,European Union,456953258,July 2005 est.
5,United States,295734134,July 2005 est.
6,Indonesia,241973879,July 2005 est.
7,Brazil,186112794,July 2005 est.
8,Pakistan,162419946,July 2005 est.
9,Bangladesh,144319628,July 2005 est.
10,Russia,143420309,July 2005 est.
11,Nigeria,128765768,July 2005 est.
12,Japan,127417244,July 2005 est.
13,Mexico,106202903,July 2005 est.
14,Philippines,87857473,July 2005 est.
15,Vietnam,83535576,July 2005 est.
16,Germany,82431390,July 2005 est.
17,Egypt,77505756,July 2005 est.
18,Ethiopia,73053286,July 2005 est.
19,Turkey,69660559,July 2005 est.
20,Iran,68017860,July 2005 est.
21,Thailand,64185502,July 2005 est.
22,Congo Democratic Republic of the,60764490,July 2005 est.
23,France,60656178,July 2005 est.
24,United Kingdom,60441457,July 2005 est.
25,Italy,58103033,July 2005 est.
26,Korea South,48640671,July 2005 est.
27,Ukraine,46996765,July 2005 est.
28,Burma,46996558,July 2005 est.
29,South Africa,44344136,July 2005 est.
30,Colombia,42954279,July 2005 est.
31,Spain,40341462,July 2005 est.
32,Sudan,40187486,July 2005 est.
33,Argentina,39537943,July 2005 est.
34,Poland,38557984,July 2005 est.
35,Tanzania,36766356,July 2005 est.
36,Kenya,33829590,July 2005 est.
37,Canada,32805041,July 2005 est.
38,Morocco,32725847,July 2005 est.
39,Algeria,32531853,July 2005 est.
40,Afghanistan,29928987,July 2005 est.
41,Peru,27925628,July 2005 est.
42,Nepal,27676547,July 2005 est.
43,Uganda,27269482,July 2005 est.
44,Uzbekistan,26851195,July 2005 est.
45,Saudi Arabia,26417599,July 2005 est.
46,Iraq,26074906,July 2005 est.
47,Venezuela,25375281,July 2005 est.
48,Malaysia,23953136,July 2005 est.
49,Korea North,22912177,July 2005 est.
50,Taiwan,22894384,July 2005 est.
51,Romania,22329977,July 2005 est.
52,Ghana,21946247,July 2005 est.
53,Yemen,20727063,July 2005 est.
54,Australia,20090437,July 2005 est.
55,Sri Lanka,20064776,July 2005 est.
56,Mozambique,19406703,July 2005 est.
57,Syria,18448752,July 2005 est.
58,Madagascar,18040341,July 2005 est.
59,Cote d'Ivoire,17298040,July 2005 est.
60,Cameroon,16988132,July 2005 est.
61,Netherlands,16407491,July 2005 est.
62,Chile,15980912,July 2005 est.
63,Kazakhstan,15185844,July 2005 est.
64,Cambodia,13636398,July 2005 est.
65,Burkina Faso,13491736,July 2005 est.
66,Ecuador,13363593,July 2005 est.
67,Malawi,12707464,July 2005 est.
68,Niger,12162856,July 2005 est.
69,Zimbabwe,12160782,July 2005 est.
70,Guatemala,12013907,July 2005 est.
71,Angola,11827315,July 2005 est.
72,Senegal,11706498,July 2005 est.
73,Mali,11415261,July 2005 est.
74,Cuba,11346670,July 2005 est.
75,Zambia,11261795,July 2005 est.
76,Serbia and Montenegro,10829175,July 2005 est.
77,Greece,10668354,July 2005 est.
78,Portugal,10566212,July 2005 est.
79,Belgium,10364388,July 2005 est.
80,Belarus,10300483,July 2005 est.
81,Czech Republic,10241138,July 2005 est.
82,Tunisia,10074951,July 2005 est.
83,Hungary,10006835,July 2005 est.
84,Chad,9657069,July 2005 est.
85,Guinea,9452670,July 2005 est.
86,Dominican Republic,9049595,July 2005 est.
87,Sweden,9001774,July 2005 est.
88,Bolivia,8857870,July 2005 est.
89,Somalia,8591629,July 2005 est.
90,Rwanda,8440820,July 2005 est.
91,Austria,8184691,July 2005 est.
92,Haiti,8121622,July 2005 est.
93,Azerbaijan,7911974,July 2005 est.
94,Burundi,7795426,July 2005 est.
95,Benin,7649360,July 2005 est.
96,Switzerland,7489370,July 2005 est.
97,Bulgaria,7450349,July 2005 est.
98,Honduras,7167902,July 2005 est.
