Country,Land area,GDP nominal (US$M),Per capita GDP (US$),Population,Government,Conscription
Albania,27398,$9306,$2584.63,3600523,emerging democracy,Yes
Algeria,2381740,$90000,$2700.01,33333216,republic,Yes
Angola,1246700,$28610,$2332.92,12263596,republic; multiparty presidential regime,Yes
Argentina,2736690,$210000,$5210.67,40301927,republic,Legal not practiced
Australia,7617930,$644700,$31550.09,20434176,federal parliamentary democracy,No (banned as enshrined by parliament in 1972
Austria,82444,$310100,$37818.07,8233300,federal republic,Yes
Bahamas,10070,$6159,$20150.17,305655,constitutional parliamentary democracy,No
Bangladesh,133910,$69340,$460.89,150448339,parliamentary democracy,No
Belgium,30528,$316200,$31400,10584534,democracy,No (abolished in 1994)
Belize,22806,$1141,$3875.88,294385,parliamentary democracy,Legal not practiced
Bhutan,47000,$840.5,$361.06,2327849,(possibly outdated) absolute monarchy; special treaty relationship with India; note - transition to a constitutional monarchy is expected in 2008 constitutional monarchy; special treaty relationship with India,Yes (selective)
Bolivia,1084390,$10330,$1132.78,9119152,republic,Yes (only when there are few volunteers)
Bosnia and Herzegovina,51129,$9217,$2024.74,4552198,emerging federal democratic republic,No
Brazil,8456510,$967000,$5089.19,190010647,federal republic,Yes
Burma,657740,$9600,$202.64,47373958,military junta,Officially prohibited de facto still practiced
China,9326410,$2518000,$1904.90,1321851888,socialist republic,Yes (selective)
Croatia,56414,$37420,$7863.44,4443350,presidential/parliamentary democracy,No (abolished by law in 2008)
Cuba,110860,$40000,$3510.61,11394043,socialist republic,Yes (both sexes)
Djibouti,22980,$702,$1414.26,496374,republic,No
El Salvador,20720,$15160,$2181.90,6948073,republic,Legal not practiced
Finland,304473,$199000,$35111.80,5246100,republic,Yes
France,640053,$2149000,$33758.81,60873000,republic,No (conscription suspended since 2001)
Gambia,10000,$462.5,$273.94,1688359,republic,No
Germany,349223,$2872000,$34853.95,82400996,federal republic,Yes
Greece,130800,$256300,$24000,10706290,parliamentary republic,Yes
Grenada,344,$454,$5046.07,89971,parliamentary democracy,No (no military service)
Hungary,93030,$207000,$11369.91,10064000,parliamentary democracy,No
Iran,1636000,$193500,$2958.83,68251090,theocratic republic,Yes
India,2973190,$804000,$657.60,1094583000,federal republic,No
Israel,20330,$140300,$21830.87,6426679,parliamentary democracy,Yes (both sexes)
Jamaica,10831,$9230,$3319.99,2780132,constitutional parliamentary democracy,No
Japan,374744,$4883000,$38318.03,127433494,constitutional monarchy with a parliamentary government,No
Jordan,92300,$300000,$2068.33,6053193,constitutional monarchy,No
Korea North,120410,$40000,$1800,23301725,juche socialist republic,Yes
Korea South,98190,$897400,$18297.56,49044790,republic,Yes
Kuwait,17820,$60720,$24234.11,2505559,constitutional emirate,Yes
Lebanon,10230,$19890,$5066.87,3925502,republic,No (abolished in 2007)
Libya,1759540,$34200,$5665.15,6036914,jamahiriya (a state of the masses) in theory governed by the populace through local councils; in practice an authoritarian state,Yes
Luxembourg,2586,$34530,$71904.24,480222,constitutional monarchy,No
Macedonia Republic of,24856,$6225,$3027.85,2055915,parliamentary democracy,No
Malaysia,328550,$132300,$5330.10,24821286,constitutional monarchy,Yes (selective)
Maldives,300,$906,$2455.08,369031,republic,No
Malta,316,$5447,$13553.80,401880,republic,No
Moldova,33371,$2574,$595.77,4320490,republic,Yes
Netherlands,33883,$612700,$36975.10,16570613,constitutional monarchy,Legal not practiced
New Zealand,268021,$98390,$23079.36,4098900,parliamentary democracy,No
Qatar,11437,$30760,$33905.44,907229,emirate,No
Romania,238392,$256900,$10661,22276056,democracy,No (ended in 2007)
Russia,16995800,$733600,$5188.94,141377752,federation,Yes
Rwanda,24948,$1968,$198.64,9907509,republic; presidential multiparty system,No
Saudi Arabia,2149690,$276900,$10032.23,27601038,absolute monarchy,No
Seychelles,455,$712,$8694.06,81895,republic,Yes
Singapore,692,$137762,$30723.61,4553009,parliamentary republic,Yes
Slovenia,20151,$37920,$18872.76,2009245,parliamentary republic,No
South Africa,1219912,$201400,$3994.61,46888200,republic,No
Spain,499542,$1084000,$23480.26,43398150,parliamentary monarchy,No
Syria,184050,$24260,$1356.90,19043380,republic under an authoritarian military-dominated regime,Yes
Swaziland,17203,$2195,$1937.22,1131000,monarchy,No
Switzerland,41285,$386100,$51107.52,7508700,formally a confederation but similar in structure to a federal republic,Yes
Taiwan (Republic of China),32260,$681800,$29600,22858872,multiparty democracy,Yes (alternative service available
Thailand,511770,$197700,$3038.35,64232760,constitutional monarchy,Yes
Tonga,718,$244,$2086.88,116921,constitutional monarchy,No
Trinidad and Tobago,5128,$14900,$14101.73,1056608,parliamentary democracy,No
Turkey,780580,$635600,$9000,71158647,republican parliamentary democracy,Yes
United Kingdom,241590,$2346000,$38600.61,60776238,constitutional monarchy,No (except Bermuda Regiment )
United States,9161923,$13210000,$42137.52,296410400,federal republic,No
Vanuatu,12200,$341,$1608.71,211971,parliamentary republic,No
