Name,Region,Income,GNI,Population
Afghanistan,South Asia,Low income,517,30605401
Albania,Eastern Europe & Central Asia,Upper middle income,4000,3169087
Algeria,Middle East & North Africa,Upper middle income,4460,35422589
Angola,Sub-Saharan Africa,Lower middle income,3960,18992707
Antigua and Barbuda,Latin America & Caribbean,Upper middle income,10610,88550
Argentina,Latin America & Caribbean,Upper middle income,8450,40665732
Armenia,Eastern Europe & Central Asia,Lower middle income,3090,3090379
Australia,OECD high income,High income,43740,22327200
Austria,OECD high income,High income,46710,8381780
Azerbaijan,Eastern Europe & Central Asia,Upper middle income,5180,8883200
Bahamas The,Latin America & Caribbean,High income,21879,345736
Bahrain,Middle East & North Africa,High income,20475,807131
Bangladesh,South Asia,Low income,640,164425491
Belarus,Eastern Europe & Central Asia,Upper middle income,6030,9645000
Belgium,OECD high income,High income,45420,10866560
Belize,Latin America & Caribbean,Lower middle income,3740,344700
Benin,Sub-Saharan Africa,Low income,750,9211741
Bhutan,South Asia,Lower middle income,1920,708484
Bolivia,Latin America & Caribbean,Lower middle income,1790,10030832
Bosnia and Herzegovina,Eastern Europe & Central Asia,Upper middle income,4790,3759633
Botswana,Sub-Saharan Africa,Upper middle income,6890,1977569
Brazil,Latin America & Caribbean,Upper middle income,9390,194946470
Brunei Darussalam,East Asia & Pacific,High income,31238,407045
Bulgaria,Eastern Europe & Central Asia,Upper middle income,6240,7561910
Burkina Faso,Sub-Saharan Africa,Low income,550,16286706
Burundi,Sub-Saharan Africa,Low income,160,8518862
Cambodia,East Asia & Pacific,Low income,760,14138255
Cameroon,Sub-Saharan Africa,Lower middle income,1160,19958351
Canada,OECD high income,High income,46215,34173900
Cape Verde,Sub-Saharan Africa,Lower middle income,3160,512582
Central African Republic,Sub-Saharan Africa,Low income,460,4505945
Chad,Sub-Saharan Africa,Low income,600,11506130
Chile,Latin America & Caribbean,Upper middle income,9940,17134708
China,East Asia & Pacific,Upper middle income,4260,1338300000
Colombia,Latin America & Caribbean,Upper middle income,5510,46300196
Comoros,Sub-Saharan Africa,Low income,820,675000
Congo Dem. Rep.,Sub-Saharan Africa,Low income,180,67827495
Congo Rep.,Sub-Saharan Africa,Lower middle income,2310,3758678
