Rank,Company,Industry,Founders,Revenue Per Year,Revenue Per Second
1,Wal-Mart Stores,General Merchandisers,Sam Walton,$378799000000,$12011.64
2,Exxon Mobil,Petroleum Refining,John D. Rockefeller,$372824000000,$11822.17
3,Royal Dutch Shell,Petroleum Refining,Jean Baptiste August Kessler,$355782000000,$11281.77
4,BP,Petroleum Refining,T. Boone Pickens,$291438000000,$9241.44
5,Toyota Motor,Motor Vehicles and Parts,Kiichiro Toyoda,$230201000000,$7299.63
6,Chevron,Petroleum Refining,Lyman Stewar,$210783000000,$6683.89
7,ING Group,Banks: Commercial and Savings,Jan Hommen,$201516000000,$6390.03
8,Total,Petroleum Refining,Ernest Mercier,$187280000000,$5938.61
9,General Motors,Motor Vehicles and Parts,William C. Durant,$182347000000,$5782.19
10,ConocoPhillips,Petroleum Refining,Frank and L.E. Phillips,$178558000000,$5662.04
11,Daimler,Motor Vehicles and Parts,Gottlieb Daimler.,$177167000000,$5617.93
12,General Electric,Diversified Financials,Thomas Edison,$176656000000,$5601.73
13,Ford Motor,Motor Vehicles and Parts,Henry Ford,$172468000000,$5468.92
14,Fortis,Banks: Commercial and Savings,Kira Bruno,$164877000000,$5228.22
15,AXA,Insurance: Life Health (stock),Claude B?b?ar,$162762000000,$5161.15
16,Sinopec,Petroleum Refining,Su Shulin,$159260000000,$5050.10
17,Citigroup,Banks: Commercial and Savings,Bill Smith,$159229000000,$5049.12
18,Volkswagen,Motor Vehicles and Parts,Ferdinand Porsche,$149054000000,$4726.47
19,Dexia Group,Banks: Commercial and Savings,Michael Wilson,$147648000000,$4681.89
20,HSBC Holdings,Banks: Commercial and Savings,Thomas Sutherland,$146500000000,$4645.49
21,BNP Paribas,Banks: Commercial and Savings,Louis Pasteu,$140726000000,$4462.39
22,Allianz,Insurance: Property and Casualty,Henning Schulte-Noelle,$140618000000,$4458.97
23,Cr?dit Agricole,Banks: Commercial and Savings,Henri Germain,$138155000000,$4380.87
24,State Grid,Utilities,Liu Zhenya,$132885000000,$4213.76
25,China National Petroleum,Petroleum Refining,Chinese National Government,$129798000000,$4115.87
26,Deutsche Bank,Banks: Commercial and Savings,Georg Siemens,$122644000000,$3889.02
27,ENI,Petroleum Refining,Tully Ryan,$120565000000,$3823.09
28,Bank of America Corp.,Banks: Commercial and Savings,Madeo Giannini,$119190000000,$3779.49
29,AT&T,Telecommunications,Alexander Graham Bell,$118928000000,$3771.18
30,Berkshire Hathaway,Insurance: Property and Casualty (stock),Oliver Chace,$118245000000,$3749.52
