,AERO,EDGE,SPRINT,PACE,COMP,FIT,SPORT,S1,ASCENT
Guide to ride and 4 instructional Spinning┬о DVDs,тАв,тАв,тАв,тАв,тАв,тАв,тАв,тАв,тАв
One-motion emergency stop feature,тАв,тАв,тАв,тАв,тАв,тАв,тАв,тАв,тАв
Patented Spinning┬о loop handlebar,тАв,тАв,тАв,тАв,тАв,тАв,тАв,тАв,тАв
Molded contoured fender sweat guards,тАв,тАв,тАв,тАв,тАв,тАв,,тАв,тАв
Stainless steel attachment hardware,тАв,тАв,тАв,тАв,,,,тАв,тАв
5 degree rise ergo bars,тАв,тАв,тАв,тАв,,,,тАв,тАв
Ovalized vertical slider tubes for seat and bars,тАв,тАв,тАв,тАв,,,,тАв,тАв
Sweat resistant full size oval tube frame,тАв,тАв,тАв,,,,,,тАв
43 lb smooth section chrome plated flywheel,тАв,тАв,тАв,,,,,,тАв
Commercial spec heavy duty bottom bracket,тАв,тАв,тАв,,,,,,тАв
Oversized commercial spec cast steel crankset,тАв,тАв,тАв,,,,,,тАв
Road bike feel with Q-factor of 155cm,тАв,тАв,тАв,,,,,,тАв
2 stage clear coat silver powder coated frame,тАв,тАв,тАв,,,,,,тАв
Co-molded rubber resistance knob,тАв,тАв,тАв,,,,,,тАв
Co-molded rubber adjustment knobs,тАв,тАв,тАв,,,,,,тАв
Weight limit 350 lb,тАв,тАв,тАв,,,,,,тАв
Handlebar with integral water bottle holders,тАв,тАв,,,,,,,
Dual-sided SPD┬о-compatiable heavy duty pedals,тАв,тАв,,,,,,,
Micro adjust multi-position slim steel seatpost,тАв,тАв,,,,,,,
Fore-aft micro adjustable handlebars,тАв,,,,,,,,
Standard toe clip and strap pedals,,,тАв,тАв,тАв,тАв,тАв,тАв,тАв
31 lb chrome plated flywheel,,,,тАв,тАв,тАв,тАв,тАв,
Weight limit 250 lb,,,,тАв,тАв,тАв,тАв,тАв,
Standard cast steel crankset,,,,тАв,тАв,тАв,тАв,тАв,
Metallic silver powder coated frame,,,,тАв,тАв,тАв,,,
Sweat resistant oval tube compact geometry frame,,,,тАв,,,,,
Oval and square tube mix compact geometry frame,,,,,тАв,,,тАв,
Square tube compact geometry frame,,,,,,тАв,тАв,,
