PEAK,RANKING,MAP,GUIDE,GRID REF,ALT (ft),ALT (m)
Allen Crags,43,SW,E,NY 236 085,2572,784
Angletarn Pikes,143,NE,FE,NY 414 148,1857,566
Ard Crags,142,NW,NW,NY 207 197,1860,567
Armboth Fell,182,NW,C,NY 297 159,1570,479
Arnison Crag,194,NE,E,NY 394 150,1424,434
Arthur's Pike,157,NE,FE,NY 461 206,1747,532
Bakestall,103,NW,N,NY 266 308,2189,667
Bannerdale Crags,103,NW,N,NY 336 290,2230,680
Barf,184,NW,NW,NY 214 6267,1536,468
Barrow,188,NW,NW,NY 227 218,1494,455
Base Brown,115,NW,W,NY 225 115,2120,646
Beda Fell,169,NE,FE,NY 428 171,1664,507
Binsey,191,NW,N,NY 225 356,1466,447
Birkhouse Moor,77,NE,E,NY 364 159,2350,716
Birks,123,NE,E,NY 382 145,2040,622
Black Fell (Black Crag),212,SW,S,NY 340 016,1056,322
Blake Fell,138,NW,W,NY 110 197,1878,572
Blea Rigg,151,SW,C,NY 300 079,1776,541
Bleaberry Fell,131,NW,C,NY 285 196,1932,589
Blencathra,14,NE,N,NY 323 277,2847,868
Bonscale Pike,160,NE,FE,NY 453 201,1718,524
Bow Fell,6,SW,S,NY 244 064,2960,902
Bowscale Fell,86,NW,N,NY 334 305,2306,703
Brae Fell,133,NW,N,NY 289 351,1920,585
Brandreth,78,NW,W,NY 215 120,2344,714
Branstree,81,SE,FE,NY 478 099,2333,711
Brim Fell,36,SW,S,SD 271 986,2611,796
Brock Crags,144,NE,FE,NY 417 137,1842,561
Broom Fell,167,NW,NW,NY 195 271,1670,509
Buckbarrow,196,SW,W,NY 135 060,1410,430
Burnbank Fell,179,NW,W,NY 110 210,1580,482
Calf Crag,154,NW,C,NY 301 104,1762,537
Carl Side,64,NW,N,NY 254 281,2420,738
Carrock Fell,105,NW,N,NY 342 337,2174,663
Castle Crag,214,NW,NW,NY 249 159,985,300
Cat Bells,189,NW,NW,NY 244 198,1481,451
Catstycam,10,NE,E,NY 348 158,2917,889
Caudale Moor,55,NE,FE,NY 418 100,2502,763
Causey Pike,124,NW,NW,NY 219 209,2035,620
Caw Fell,88,NW,W,NY 132 110,2288,697
Clough Head,74,NE,E,NY 334 225,2381,726
Cold Pike,96,SW,S,NY 263 035,2259,689
Coniston Old Man,32,SW,S,SD 272 978,2633,803
Crag Fell,161,NW,W,NY 097 144,1710,521
Crag Hill (Eel Crag),24,NW,NW,NY 193 203,2749,838
Crinkle Crags,17,SW,S,NY 249 049,2816,858
