MOUNTAIN,HEIGHT IN METERS,RANGE,CONQUERED ON
Mount Everest,8848,Himalayas,May 29 1953
K-2 (Godwin Austin),8611,Karakoram,July 31 1954
Kanchenjunga,8597,Himalayas,May 25 1955
Lhotse,8511,Himalayas,May 18 1956
Makalu I,8481,Himalayas,May 15 1955
Dhaulagiri I,8167,Himalayas,May 13 1960
Manaslu,8156,Himalayas,May 9 1956
Cho Uyo,8153,Himalayas,Oct 19 1954
Nanga Parbat,8124,Himalayas,July 3 1953
Annapurna I,8078,Himalayas,June 3 1950
Gasherbrum I,8068,Karakoram,July 5 1958
Broad Peak I,8047,Karakoram,June 9 1957
Gasherbrum II,8034,Karakoram,July 7 1956
Shisha Pangma (Gasainthan),8013,Himalayas,May 2 1964
Gasherbrum III,7952,Karakoram,Aug 11 1975
Annapurna II,7937,Himalayas,May 17 1960
Gasherbrum IV,7923,Karakoram,Aug 6 1958
Cyachug Kang,7921,Himalayas,Apr 10 1964
Kangbachen,7902,Himalayas,May 26 1974
Disteghil Sar I,7884,Karakoram,June 9 1960
Himal Chuli,7864,Himalayas,May 24 1960
Khinyang Chchish,7852,Karakoram,Aug 26 1971
Nuptse,7841,Himalayas,Oct 1970
Gasherbrum East,7821,Karakoram,July 5 1960
Nanda Devi,7816,Himalayas,Aug 29 1936
Chomo Lonzo,7815,Himalayas,Oct 30 1954
Ngojumba Ri I,7805,Himalayas,May 5 1965
Rakaposhi,7788,Karakoram,June 25 1988
Batura Muztagh I,7785,Karakoram,July 30 1976
Zemu Gap Peak,7780,Himalayas,Unclimbed
Kanjut Sar,7760,Karakoram,July 19 1939
Kamet,7756,Himalayas,June 21 1931
