,Project $
Allen,$0
Anderson,$57518
Atchison,$216000
Barber,$292272
Barton,$560000
Bourbon,$228180
Brown,$0
Butler,$1234800
Chase,$0
Chautauqua,$442596
Cherokee,$0
Cheyenne,$0
Clark,$0
Clay,$0
Cloud,$0
Coffey,$0
Comanche,$369000
Cowley,$877500
Decatur,$0
Dickinson,$0
Doniphan,$219300
Douglas,$2000000
Edwards,$0
Elk,$120751
Ellis,$557882
Ellsworth,$493000
Finney,$0
Ford,$0
Franklin,$501252
Geary,$0
Gove,$8324538
Graham,$0
Grant,$0
Gray,$0
Greeley,$0
Greenwood,$490000
Hamilton,$396800
Harper,$510000
Harvey,$0
Haskell,$0
Hodgeman,$0
Jackson,$0
Jefferson,$38800
Jewell,$0
Johnson,$95801296
Kearny,$0
Kingman,$459525
Kiowa,$0
Labette,$0
Lane,$0
Leavenworth,$1146821
Lincoln,$236000
Linn,$0
Logan,$0
Lyon,$0
McPherson,$72885789
Marion,$0
Marshall,$0
Meade,$0
Miami,$88146
Mitchell,$465350
Montgomery,$138944
Morris,$218500
Morton,$355615
Nemaha,$0
Neosho,$0
Ness,$0
Norton,$0
Osage,$523465
Osborne,$0
Ottawa,$205640
Pawnee,$0
Phillips,$0
Pottawatomie,$478800
Pratt,$0
Rawlins,$0
Reno,$517593
Republic,$0
Rice,$0
Riley,$16200000
Rooks,$310000
Rush,$0
Russell,$362400
Saline,$315000
Scott,$495000
Sedgwick,$21537401
Seward,$0
Shawnee,$0
Sheridan,$0
Sherman,$0
Smith,$0
Stafford,$0
Stanton,$448000
Stevens,$0
Sumner,$0
Thomas,$0
Trego,$0
Wabaunsee,$0
Wallace,$152000
Washington,$351000
Wichita,$0
Wilson,$0
Woodson,$0
Wyandotte,$0
,Show/hide all
