Rank,Name,Score
1,mistydolphin,4687 points
2,scorpio46,4624 points
3,jetxx,4619 points
4,steer240,4613 points
5,JMarMcD,4607 points
6,mustangkid67,4589 points
7,mistydolphin,4570 points
8,mustangkid67,4566 points
9,mustangkid67,4564 points
10,mistydolphin,4550 points
11,jetxx,4550 points
12,trustintuna,4548 points
13,wasamata,4505 points
14,Bhawk1357,4503 points
15,mistydolphin,4502 points
16,Honeybee95,4502 points
17,steer240,4496 points
18,mistydolphin,4494 points
19,mistydolphin,4494 points
20,trustintuna,4494 points
21,kmd888,4490 points
22,farley49,4487 points
23,mtstud54,4484 points
24,n4ceraa,4483 points
25,mistydolphin,4479 points
26,mistydolphin,4475 points
27,mistydolphin,4474 points
28,Honeybee95,4472 points
29,mistydolphin,4472 points
30,mustangkid67,4472 points
31,Reiuxkat,4469 points
32,1sja,4464 points
33,1sja,4463 points
34,jetxx,4463 points
35,Bhawk1357,4458 points
36,Lostdiver,4454 points
37,Veeba,4452 points
38,tk72,4450 points
39,crankypants,4448 points
40,Luv2Laf,4443 points
41,farley49,4443 points
42,scorpio46,4442 points
43,jetxx,4442 points
44,jetxx,4439 points
45,1sja,4435 points
46,mustangkid67,4434 points
47,Luv2Laf,4433 points
48,Veeba,4432 points
49,1sja,4429 points
50,steer240,4426 points
51,Lostdiver,4426 points
52,trustintuna,4425 points
53,jcherring,4424 points
54,namreknat,4423 points
55,kirkub,4421 points
56,Veeba,4418 points
57,Seventhirty2,4416 points
58,Lostdiver,4415 points
59,mistydolphin,4414 points
60,scorpio46,4411 points
61,marquiscwix1,4409 points
62,mistydolphin,4409 points
63,scorpio46,4409 points
64,steer240,4409 points
65,Honeybee95,4409 points
66,marquiscwix1,4408 points
67,mustangkid67,4408 points
68,1sja,4408 points
69,Veeba,4403 points
70,steer240,4401 points
71,jetxx,4400 points
72,mistydolphin,4399 points
73,mustangkid67,4399 points
74,mustangkid67,4398 points
75,jetxx,4394 points
76,blueheaven79,4393 points
77,Veeba,4392 points
78,Chude2,4390 points
79,jetxx,4390 points
80,TREBOL,4389 points
81,MARTIKAYE,4388 points
82,wasamata,4385 points
83,steer240,4383 points
84,mustangkid67,4383 points
85,Crabbler,4379 points
86,Bhawk1357,4376 points
87,jeanne917,4376 points
88,daisyaday,4375 points
89,mistydolphin,4374 points
90,mtstud54,4373 points
