Unicode code point,character,UTF-8 (bin.),name
U+0100,─А,11000100 10000000,LATIN CAPITAL LETTER A WITH MACRON
U+0101,─Б,11000100 10000001,LATIN SMALL LETTER A WITH MACRON
U+0102,─В,11000100 10000010,LATIN CAPITAL LETTER A WITH BREVE
U+0103,─Г,11000100 10000011,LATIN SMALL LETTER A WITH BREVE
U+0104,─Д,11000100 10000100,LATIN CAPITAL LETTER A WITH OGONEK
U+0105,─Е,11000100 10000101,LATIN SMALL LETTER A WITH OGONEK
U+0106,─Ж,11000100 10000110,LATIN CAPITAL LETTER C WITH ACUTE
U+0107,─З,11000100 10000111,LATIN SMALL LETTER C WITH ACUTE
U+0108,─И,11000100 10001000,LATIN CAPITAL LETTER C WITH CIRCUMFLEX
U+0109,─Й,11000100 10001001,LATIN SMALL LETTER C WITH CIRCUMFLEX
U+010A,─К,11000100 10001010,LATIN CAPITAL LETTER C WITH DOT ABOVE
U+010B,─Л,11000100 10001011,LATIN SMALL LETTER C WITH DOT ABOVE
U+010C,─М,11000100 10001100,LATIN CAPITAL LETTER C WITH CARON
U+010D,─Н,11000100 10001101,LATIN SMALL LETTER C WITH CARON
U+010E,─О,11000100 10001110,LATIN CAPITAL LETTER D WITH CARON
U+010F,─П,11000100 10001111,LATIN SMALL LETTER D WITH CARON
U+0110,─Р,11000100 10010000,LATIN CAPITAL LETTER D WITH STROKE
U+0111,─С,11000100 10010001,LATIN SMALL LETTER D WITH STROKE
U+0112,─Т,11000100 10010010,LATIN CAPITAL LETTER E WITH MACRON
U+0113,─У,11000100 10010011,LATIN SMALL LETTER E WITH MACRON
U+0114,─Ф,11000100 10010100,LATIN CAPITAL LETTER E WITH BREVE
U+0115,─Х,11000100 10010101,LATIN SMALL LETTER E WITH BREVE
U+0116,─Ц,11000100 10010110,LATIN CAPITAL LETTER E WITH DOT ABOVE
U+0117,─Ч,11000100 10010111,LATIN SMALL LETTER E WITH DOT ABOVE
U+0118,─Ш,11000100 10011000,LATIN CAPITAL LETTER E WITH OGONEK
U+0119,─Щ,11000100 10011001,LATIN SMALL LETTER E WITH OGONEK
U+011A,─Ъ,11000100 10011010,LATIN CAPITAL LETTER E WITH CARON
U+011B,─Ы,11000100 10011011,LATIN SMALL LETTER E WITH CARON
U+011C,─Ь,11000100 10011100,LATIN CAPITAL LETTER G WITH CIRCUMFLEX
U+011D,─Э,11000100 10011101,LATIN SMALL LETTER G WITH CIRCUMFLEX
U+011E,─Ю,11000100 10011110,LATIN CAPITAL LETTER G WITH BREVE
U+011F,─Я,11000100 10011111,LATIN SMALL LETTER G WITH BREVE
U+0120,─а,11000100 10100000,LATIN CAPITAL LETTER G WITH DOT ABOVE
U+0121,─б,11000100 10100001,LATIN SMALL LETTER G WITH DOT ABOVE
U+0122,─в,11000100 10100010,LATIN CAPITAL LETTER G WITH CEDILLA
U+0123,─г,11000100 10100011,LATIN SMALL LETTER G WITH CEDILLA
U+0124,─д,11000100 10100100,LATIN CAPITAL LETTER H WITH CIRCUMFLEX
U+0125,─е,11000100 10100101,LATIN SMALL LETTER H WITH CIRCUMFLEX
U+0126,─ж,11000100 10100110,LATIN CAPITAL LETTER H WITH STROKE
U+0127,─з,11000100 10100111,LATIN SMALL LETTER H WITH STROKE
U+0128,─и,11000100 10101000,LATIN CAPITAL LETTER I WITH TILDE
U+0129,─й,11000100 10101001,LATIN SMALL LETTER I WITH TILDE
U+012A,─к,11000100 10101010,LATIN CAPITAL LETTER I WITH MACRON
U+012B,─л,11000100 10101011,LATIN SMALL LETTER I WITH MACRON
U+012C,─м,11000100 10101100,LATIN CAPITAL LETTER I WITH BREVE
U+012D,─н,11000100 10101101,LATIN SMALL LETTER I WITH BREVE
U+012E,─о,11000100 10101110,LATIN CAPITAL LETTER I WITH OGONEK
U+012F,─п,11000100 10101111,LATIN SMALL LETTER I WITH OGONEK
U+0130,─░,11000100 10110000,LATIN CAPITAL LETTER I WITH DOT ABOVE
U+0131,─▒,11000100 10110001,LATIN SMALL LETTER DOTLESS I
U+0132,─▓,11000100 10110010,LATIN CAPITAL LIGATURE IJ
U+0133,─│,11000100 10110011,LATIN SMALL LIGATURE IJ
U+0134,─┤,11000100 10110100,LATIN CAPITAL LETTER J WITH CIRCUMFLEX
U+0135,─╡,11000100 10110101,LATIN SMALL LETTER J WITH CIRCUMFLEX
U+0136,─╢,11000100 10110110,LATIN CAPITAL LETTER K WITH CEDILLA
U+0137,─╖,11000100 10110111,LATIN SMALL LETTER K WITH CEDILLA
U+0138,─╕,11000100 10111000,LATIN SMALL LETTER KRA
U+0139,─╣,11000100 10111001,LATIN CAPITAL LETTER L WITH ACUTE
U+013A,─║,11000100 10111010,LATIN SMALL LETTER L WITH ACUTE
U+013B,─╗,11000100 10111011,LATIN CAPITAL LETTER L WITH CEDILLA
U+013C,─╝,11000100 10111100,LATIN SMALL LETTER L WITH CEDILLA
U+013D,─╜,11000100 10111101,LATIN CAPITAL LETTER L WITH CARON
