Week,6.x,7.x,Total
July 19 2015,3055,6790,9845
July 12 2015,4018,10051,14069
July 5 2015,4054,10017,14071
June 28 2015,3924,9611,13535
June 21 2015,3955,9637,13592
June 14 2015,4189,10213,14402
June 7 2015,4147,10011,14158
May 31 2015,4181,10238,14419
May 24 2015,4217,10331,14548
May 17 2015,4287,10593,14880
May 10 2015,4325,10847,15172
May 3 2015,4388,11350,15738
April 26 2015,4414,11389,15803
April 19 2015,4446,11361,15807
April 12 2015,4486,11332,15818
April 5 2015,4472,11362,15834
March 29 2015,4560,11369,15929
March 22 2015,4607,11447,16054
March 15 2015,4680,11677,16357
March 8 2015,4583,11442,16025
March 1 2015,4647,11513,16160
February 22 2015,4646,11511,16157
February 15 2015,4714,11556,16270
February 8 2015,4673,11729,16402
February 1 2015,4642,11716,16358
January 25 2015,4644,11532,16176
January 18 2015,4698,11665,16363
January 11 2015,4723,11676,16399
January 4 2015,4793,11565,16358
December 28 2014,4568,11063,15631
December 21 2014,4614,11154,15768
December 14 2014,4802,11597,16399
December 7 2014,4795,11640,16435
November 30 2014,4888,11623,16511
November 23 2014,4898,11676,16574
November 16 2014,5024,11862,16886
November 9 2014,5083,11867,16950
November 2 2014,4995,12146,17141
October 26 2014,5041,12250,17291
October 19 2014,5001,12103,17104
October 12 2014,5049,12212,17261
October 5 2014,5033,12057,17090
September 28 2014,5129,12068,17197
September 21 2014,5078,11966,17044
September 14 2014,6620,12201,18821
September 7 2014,5170,12025,17195
August 31 2014,5182,12018,17200
August 24 2014,5146,11954,17100
August 17 2014,5228,11988,17216
August 10 2014,5301,12098,17399
August 3 2014,5428,12182,17610
July 27 2014,5401,12178,17579
July 20 2014,5335,11945,17280
July 13 2014,5413,12047,17460
July 6 2014,5388,11961,17349
June 29 2014,5399,11989,17388
June 22 2014,5357,12092,17449
June 15 2014,5259,11271,16530
June 8 2014,5396,11700,17096
June 1 2014,5642,11853,17495
May 25 2014,5757,11612,17369
May 18 2014,5622,11389,17011
May 11 2014,5596,11328,16924
May 4 2014,5396,11278,16674
April 27 2014,5474,11212,16686
April 20 2014,5592,11325,16917
April 13 2014,5665,11474,17139
April 6 2014,5658,11559,17217
March 30 2014,5857,11583,17440
March 23 2014,5895,11569,17464
March 16 2014,5962,11458,17420
March 9 2014,6078,11570,17648
March 2 2014,5859,11550,17409
February 23 2014,6073,11493,17566
February 16 2014,5926,11568,17494
February 9 2014,6172,11691,17863
February 2 2014,5899,11558,17457
January 26 2014,5919,11642,17561
January 19 2014,5984,11705,17689
January 12 2014,5934,11775,17709
January 5 2014,6120,11554,17674
December 29 2013,5991,11241,17232
December 22 2013,5983,11067,17050
December 15 2013,6140,11556,17696
December 8 2013,6246,11561,17807
December 1 2013,6122,11520,17642
November 24 2013,6160,11408,17568
November 17 2013,6246,11576,17822
November 10 2013,6349,11433,17782
November 3 2013,6196,11402,17598
October 27 2013,6201,11342,17543
October 20 2013,6277,11458,17735
October 13 2013,6241,11477,17718
October 6 2013,6281,11446,17727
September 29 2013,6269,11447,17716
September 22 2013,6381,11449,17830
September 15 2013,6592,11505,18097
September 8 2013,6513,11551,18064
September 1 2013,6488,11489,17977
August 25 2013,6537,11514,18051
August 18 2013,6556,11419,17975
August 11 2013,6521,11237,17758
August 4 2013,6550,11216,17766
July 28 2013,6531,11221,17752
July 21 2013,6610,11191,17801
July 14 2013,6658,11281,17939
July 7 2013,6702,11197,17899
June 30 2013,6737,11151,17888
June 23 2013,6723,11096,17819
June 16 2013,7054,11096,18150
June 9 2013,6909,11164,18073
June 2 2013,6891,11114,18005
May 26 2013,6961,10794,17755
May 19 2013,6129,9516,15645
May 12 2013,6920,10930,17850
May 5 2013,6956,10764,17720
April 28 2013,6985,10856,17841
April 21 2013,7035,10993,18028
April 14 2013,7004,11059,18063
April 7 2013,7118,11055,18173
March 31 2013,7018,10994,18012
March 24 2013,7107,10909,18016
March 17 2013,7174,10906,18080
March 10 2013,7172,10823,17995
March 3 2013,7181,10747,17928
February 24 2013,7366,10773,18139
February 17 2013,7266,10678,17944
February 10 2013,7413,10547,17960
February 3 2013,7462,10614,18076
January 27 2013,7611,10493,18104
January 20 2013,7585,10443,18028
January 13 2013,7808,10532,18340
January 6 2013,7536,10365,17901
December 30 2012,7350,9964,17314
December 23 2012,7273,9760,17033
December 16 2012,7635,10159,17794
December 9 2012,11579,10171,21750
December 2 2012,17772,10159,27931
November 25 2012,17757,10142,27899
November 18 2012,17836,10104,27940
November 11 2012,9690,10183,19873
November 4 2012,7843,10148,17991
October 28 2012,7847,10147,17994
October 21 2012,7993,10147,18140
October 14 2012,8009,10130,18139
October 7 2012,7955,9885,17840
September 30 2012,7976,9900,17876
September 23 2012,8050,9784,17834
September 16 2012,8081,9687,17768
September 9 2012,8046,9537,17583
September 2 2012,8095,9488,17583
August 26 2012,8069,9382,17451
August 19 2012,7985,9331,17316
August 12 2012,8042,9205,17247
August 5 2012,8066,9281,17347
July 29 2012,8170,9127,17297
