Domain,Daily traffic,Daily earnings,Rank,Ip Adress
dating.se,тЙИ904,$4.03,1333658,194.152.38.143
spilskyen.tv2.dk,тЙИ293048,$880.24,3631,194.152.38.21
spigo.de,тЙИ2603,$9.27,401348,194.152.38.22
spigo.dk,тЙИ4887,$16.18,237654,194.152.38.23
spigo.es,тЙИ904,$4.03,1263672,194.152.38.24
spigo.pt,тЙИ904,$4.03,1179336,194.152.38.27
spigo.it,тЙИ1358,$5.46,809448,194.152.38.29
spigo.se,тЙИ904,$4.03,1282791,194.152.38.29
n/a spigo.co.uk,тЙИ502,$2.72,2454167,194.152.38.102
n/a dating.dk,тЙИ39636,$120.4,25238,194.152.38.130
n/a dating.no,тЙИ904,$4.03,1281775,194.152.38.143
n/a spilop.dk,тЙИ300,$2.02,3759312,194.152.38.24
n/a spigo.nl,тЙИ300,$2.02,3895733,194.152.38.25
n/a spigo.be,тЙИ263,$1.86,4492137,194.152.38.25
n/a spigo.in,тЙИ502,$2.72,2339633,194.152.38.26
n/a spigo.cz,тЙИ644,$3.2,1792122,194.152.38.26
n/a spigo.fr,тЙИ644,$3.2,1933454,194.152.38.26
n/a spigo.gr,тЙИ52,$0.74,26962627,194.152.38.26
n/a spigo.com.br,тЙИ2315,$8.36,494002,194.152.38.27
n/a spigo.no,тЙИ300,$2.02,3680878,194.152.38.27
