Stock of Quasi Money By Country,Stock of quasi money,Updated,Rank
The stock of quasi money of The United States is,$10990000000000,31-Dec-08,#1
The stock of quasi money of Japan is,$6160000000000,31-Dec-08,#2
The stock of quasi money of European Union is,$5631000000000,31-Dec-08,#3
The stock of quasi money of China is,$4523000000000,31-Dec-08,#4
The stock of quasi money of Canada is,$1299000000000,31-Dec-08,#5
The stock of quasi money of India is,$853400000000,31-Dec-08,#6
The stock of quasi money of Hong Kong is,$757600000000,31-Dec-08,#7
The stock of quasi money of Brazil is,$645000000000,31-Dec-08,#8
The stock of quasi money of Taiwan is,$618000000000,31-Dec-08,#9
The stock of quasi money of South Korea is,$478000000000,31-Dec-08,#10
The stock of quasi money of Switzerland is,$477600000000,31-Dec-08,#11
The stock of quasi money of Russia is,$318400000000,31-Dec-08,#12
The stock of quasi money of Turkey is,$313500000000,31-Dec-08,#13
The stock of quasi money of Thailand is,$283600000000,31-Dec-08,#14
The stock of quasi money of Malaysia is,$200900000000,31-Dec-08,#15
The stock of quasi money of Singapore is,$179000000000,31-Dec-08,#16
The stock of quasi money of Israel is,$171600000000,31-Dec-08,#17
The stock of quasi money of Mexico is,$146800000000,31-Dec-08,#18
The stock of quasi money of Saudi Arabia is,$134300000000,31-Dec-08,#19
The stock of quasi money of Indonesia is,$131500000000,31-Dec-08,#20
The stock of quasi money of South Africa is,$124100000000,31-Dec-08,#21
The stock of quasi money of Egypt is,$112200000000,31-Dec-08,#22
The stock of quasi money of Poland is,$109000000000,31-Dec-08,#23
The stock of quasi money of New Zealand is,$99910000000,31-Dec-08,#24
The stock of quasi money of Denmark is,$95820000000,31-Dec-08,#25
The stock of quasi money of Lebanon is,$77800000000,31-Dec-08,#26
The stock of quasi money of Syria is,$73930000000,31-Dec-08,#27
The stock of quasi money of Chile is,$73660000000,31-Dec-08,#28
The stock of quasi money of Kuwait is,$71790000000,31-Dec-08,#29
The stock of quasi money of The Czech Republic is,$58600000000,31-Dec-08,#30
The stock of quasi money of The Philippines is,$55710000000,31-Dec-08,#31
The stock of quasi money of Sweden is,$54550000000,31-Dec-08,#32
The stock of quasi money of Bangladesh is,$45230000000,31-Dec-08,#33
The stock of quasi money of Qatar is,$44500000000,31-Dec-08,#34
The stock of quasi money of Ukraine is,$41500000000,31-Dec-08,#35
The stock of quasi money of Hungary is,$40700000000,31-Dec-08,#36
The stock of quasi money of Romania is,$36090000000,31-Dec-08,#37
The stock of quasi money of Kazakhstan is,$35760000000,31-Dec-08,#38
The stock of quasi money of Croatia is,$34570000000,31-Dec-08,#39
The stock of quasi money of Nigeria is,$32040000000,31-Dec-08,#40
The stock of quasi money of Algeria is,$30360000000,31-Dec-08,#41
The stock of quasi money of Colombia is,$26570000000,31-Dec-08,#42
The stock of quasi money of Peru is,$25320000000,31-Dec-08,#43
The stock of quasi money of Slovakia is,$23150000000,31-Dec-08,#44
The stock of quasi money of Macau is,$22680000000,31-Dec-08,#45
The stock of quasi money of Bulgaria is,$20610000000,31-Dec-08,#46
The stock of quasi money of Morocco is,$19840000000,31-Dec-08,#47
The stock of quasi money of Jordan is,$17980000000,31-Dec-08,#48
The stock of quasi money of Tunisia is,$16550000000,31-Dec-08,#49
The stock of quasi money of Slovenia is,$15900000000,31-Dec-08,#50
The stock of quasi money of Panama is,$15840000000,31-Dec-08,#51
The stock of quasi money of Oman is,$14570000000,31-Dec-08,#52
The stock of quasi money of Serbia is,$14110000000,31-Dec-08,#53
The stock of quasi money of Sri Lanka is,$11150000000,31-Dec-08,#54
The stock of quasi money of Venezuela is,$10930000000,31-Dec-08,#55
