,Username,Status,Role,Bubbles,CRank,Score,
Send PM,H2OAcidic,,Contributor,3,8,8860,Send PM
Send PM,haaaaaa,,Member,3,5,130,Send PM
Send PM,HacSawJimThugin,"from the void...",Member,3,5,1480,Send PM
Send PM,Hadoukameha,,Member,3,5,110,Send PM
Send PM,hadouken007,,Trainee,3,5,550,Send PM
Send PM,hadouken182,,Member,3,5,970,Send PM
Send PM,hagerman,,Member,3,5,100,Send PM
Send PM,Haioncdougal,,Member,3,5,100,Send PM
Send PM,hairthinning,,Member,3,5,100,Send PM
Send PM,Hajimechrono,,Member,3,5,100,Send PM
Send PM,hajueraswe,,Trainee,3,5,130,Send PM
Send PM,hakensm,,Member,3,5,100,Send PM
Send PM,Halfbloodprince,,Contributor,3,5,3060,Send PM
Send PM,HalfNerdHalfAmazing,,Member,3,5,200,Send PM
Send PM,halo3blogs,,Contributor,3,5,850,Send PM
Send PM,halocursed,,Contributor,3,5,8530,Send PM
Send PM,HALOisKING,,Member,3,5,230,Send PM
Send PM,halojane9,,Contributor,3,5,4360,Send PM
Send PM,hamie96,,Contributor,3,5,490,Send PM
Send PM,hammad412,,Trainee,3,5,3170,Send PM
