Summit,Location,Elevation
Buck Mountain,36┬░30тА▓29тА│N 80┬░50тА▓00тА│Wя╗┐ / я╗┐36.50806┬░N 80.83333┬░Wя╗┐ / 36.50806; -80.83333,1768 ft (539 m).
Cumberland Knob,36┬░33тА▓00тА│N 80┬░54тА▓31тА│Wя╗┐ / я╗┐36.55000┬░N 80.90861┬░Wя╗┐ / 36.55000; -80.90861,2858 ft (871 m).
Fisher Peak,36┬░33тА▓34тА│N 80┬░49тА▓23тА│Wя╗┐ / я╗┐36.55944┬░N 80.82306┬░Wя╗┐ / 36.55944; -80.82306,3570 ft (1090 m).
Fulcher Mountain,36┬░30тА▓07тА│N 80┬░50тА▓20тА│Wя╗┐ / я╗┐36.50194┬░N 80.83889┬░Wя╗┐ / 36.50194; -80.83889,1831 ft (558 m).
Fulcher Mountain,36┬░29тА▓58тА│N 80┬░50тА▓18тА│Wя╗┐ / я╗┐36.49944┬░N 80.83833┬░Wя╗┐ / 36.49944; -80.83833,1762 ft (537 m).
Lens Knob,36┬░27тА▓46тА│N 80┬░55тА▓31тА│Wя╗┐ / я╗┐36.46278┬░N 80.92528┬░Wя╗┐ / 36.46278; -80.92528,2175 ft (663 m).
Long Branch Mountain,36┬░33тА▓11тА│N 80┬░30тА▓43тА│Wя╗┐ / я╗┐36.55306┬░N 80.51194┬░Wя╗┐ / 36.55306; -80.51194,1631 ft (497 m).
Pilot Mountain,36┬░20тА▓24тА│N 80┬░28тА▓27тА│Wя╗┐ / я╗┐36.34000┬░N 80.47417┬░Wя╗┐ / 36.34000; -80.47417,2421 ft (738 m).
Racoon Mountain,36┬░28тА▓45тА│N 80┬░52тА▓30тА│Wя╗┐ / я╗┐36.47917┬░N 80.87500┬░Wя╗┐ / 36.47917; -80.87500,2152 ft (656 m).
Raven Knob,36┬░28тА▓11тА│N 80┬░50тА▓41тА│Wя╗┐ / я╗┐36.46972┬░N 80.84472┬░Wя╗┐ / 36.46972; -80.84472,1896 ft (578 m).
Round Peak,36┬░31тА▓23тА│N 80┬░48тА▓49тА│Wя╗┐ / я╗┐36.52306┬░N 80.81361┬░Wя╗┐ / 36.52306; -80.81361,2077 ft (633 m).
Saddle Mountain,36┬░30тА▓03тА│N 80┬░55тА▓37тА│Wя╗┐ / я╗┐36.50083┬░N 80.92694┬░Wя╗┐ / 36.50083; -80.92694,3294 ft (1004 m).
Skull Camp Mountain,36┬░28тА▓31тА│N 80┬░48тА▓59тА│Wя╗┐ / я╗┐36.47528┬░N 80.81639┬░Wя╗┐ / 36.47528; -80.81639,2044 ft (623 m).
Slate Mountain,36┬░32тА▓34тА│N 80┬░30тА▓54тА│Wя╗┐ / я╗┐36.54278┬░N 80.51500┬░Wя╗┐ / 36.54278; -80.51500,1988 ft (606 m).
Slate Mountain,36┬░32тА▓24тА│N 80┬░31тА▓20тА│Wя╗┐ / я╗┐36.54000┬░N 80.52222┬░Wя╗┐ / 36.54000; -80.52222,1952 ft (595 m).
Stott Knob,36┬░24тА▓19тА│N 80┬░39тА▓28тА│Wя╗┐ / я╗┐36.40528┬░N 80.65778┬░Wя╗┐ / 36.40528; -80.65778,1552 ft (473 m).
Turner Mountain,36┬░25тА▓25тА│N 80┬░39тА▓36тА│Wя╗┐ / я╗┐36.42361┬░N 80.66000┬░Wя╗┐ / 36.42361; -80.66000,1601 ft (488 m).
Warrior Mountain,36┬░28тА▓15тА│N 80┬░52тА▓29тА│Wя╗┐ / я╗┐36.47083┬░N 80.87472┬░Wя╗┐ / 36.47083; -80.87472,1958 ft (597 m).
