Prщnom Nom,,,Date de la f?te,Mort
Alberto Hurtado,.,.,18 ao?t,1952
Alphonse Rodriguez,.,.,31 octobre,1617
Alphonse Rodriguez,Martyr,Martyr,16 novembre,1628
Andr? Bobola,.,.,16 mai,1657
Antoine Baldinucci,.,.,2 juillet,1717
Antoine Daniel,Martyr,Martyr,19 octobre,1648
Bernardin Realino,.,.,2 juillet,1616
Bernardo de Hoyos,,,29 novembre,1735
Charles Garnier,Martyr,Martyr,19 octobre,1649
Charles Spinola,,,4 fщvrier,1622
Claude La Colombi?re,.,.,15 fщvrier,1682
Diego Luis de San Vitores,Martyr,Martyr,06 octobre,1672
Dominique Collins,Martyr,Martyr,30 octobre,1602
Edmond Campion,Martyr,Martyr,01 dщcembre,1581
Etienne Prongracz,Martyr,Martyr,7 septembre,1619
Fran?ois de Borgia,.,.,03 octobre,1572
Fran?ois Garate,.,.,10 septembre,1929
Franчois de Gщronimo,.,.,2 juillet,1616
Franчois Pacheco,Martyr,Martyr,4 fщvrier,1626
Fran?ois Xavier,.,.,03 dщcembre,1552
Gabriel Lallemant,Martyr,Martyr,19 octobre,1649
Guillaume Saultemouche,Martyr,Martyr,07 fщvrier,1593
Ignace de Azevedo,.,.,19 janvier,1570
Ignace de Loyola,.,.,31 juillet,1556
Isaac Jogues,Martyr,Martyr,19 octobre,1646
Jacques Berthieu,Martyr,Martyr,8 juin,1896
Jacques Bonnaud,Martyr,Martyr,2 septembre,1792
Jacques Kisai,Martyr,Martyr,06 fщvrier,1597
Jacques Sal?s,Martyr,Martyr,07 fщvrier,1593
Jean Berchmans,.,.,26 novembre,1621
Jean Beyzym,.,.,18 ao√t,1912
Jean de Brito,.,.,4 fщvrier,1693
Jean de Br?beuf,Martyr,Martyr,19 octobre,1649
Jean del Castillo,Martyr,Martyr,16 novembre,1628
Jean de La Lande,Martyr,Martyr,19 octobre,1646
Jean Francois R?gis,.,.,16 juin,1640
Jean Nicolas Cordier,Martyr,Martyr,17 ao√t,1794
Jean Ogilvie,Martyr,Martyr,14 octobre,1615
Jean Soan (de Goto),Martyr,Martyr,06 fщvrier,1597
Josщ Maria Rubio,.,.,05 mai,1929
Joseph de Anchieta,.,.,09 juin,1597
Joseph Imbert,Martyr,Martyr,17 ao√t,1794
Joseph Pignatelli,.,.,14 novembre,1811
Julien Maunoir,.,.,29 janvier,1683
Lщon Mangin,Martyr,Martyr,19 juin,1900
Louis de Gonzague,.,.,21 juin,1591
Melchior Grodziecki,Martyr,Martyr,7 septembre,1619
Michel Pro,Martyr,Martyr,23 novembre,1927
Modeste Andlauer,Martyr,Martyr,19 juin,1900
Noыl Chabanel,Martyr,Martyr,19 octobre,1649
Paul Denn,Martyr,Martyr,19 juin,1900
Paul Miki,Martyr,Martyr,06 fщvrier,1597
Pierre Canisius,.,.,27 avril,1597
Pierre Claver,.,.,09 septembre,1654
Pierre Favre,.,.,02 ao√t,1546
Rщmi Isorщ,Martyr,Martyr,19 juin,1900
Renщ Goupil,Martyr,Martyr,19 octobre,1649
Robert Bellarmin,Docteur,Docteur,17 septembre,1621
Robert Southwell,Martyr,Martyr,01 dщcembre,1595
Roch Gonzalшs,Martyr,Martyr,16 novembre,1628
Rodolphe Acquaviva,.,.,4 fщvrier,1583
Rupert Mayer,.,.,03 novembre,1945
Stanislas Kostka,.,.,13 novembre,1568
Thomas Sitjar,Martyr,Martyr,22 septembre,1936
Tous les Saints,,,05 novembre,
