Country,Capital,Area sq.km.,Population 2008 est.
Afghanistan,Kabul,647500,32738376
Albania,Tirana,28748,3619778
Algeria,Algiers,2381740,33769668
American Samoa,Pago Pago,199,64827
Andorra,Andorra la Vella,468,82627
Angola,Luanda,1246700,12531357
Anguilla,The Valley,102,14108
Antigua and Barbuda,Saint John's,443,84522
Argentina,Buenos Aires,2766890,40482000
Armenia,Yerevan,29800,2968586
Aruba,Oranjestad,193,101541
Australia,Canberra,7686850,21007310
Austria,Vienna,83870,8205533
Azerbaijan,Baku,86600,8177717
Bahamas The,Nassau,13940,307451
Bahrain,Manama,665,718306
Bangladesh,Dhaka,144000,153546896
Barbados,Bridgetown,431,281968
Belarus,Minsk,207600,9685768
Belgium,Brussels,30528,10403951
Belize,Belmopan,22966,301270
Benin,Porto-Novo,112620,8532547
Bermuda,Hamilton,53,66536
Bhutan,Thimphu,47000,682321
Bolivia,Sucre,1098580,9247816
Bosnia and Herzegovina,Sarajevo,51129,4590310
Botswana,Gaborone,600370,1842323
Brazil,Brasilia,8511965,196342592
British Virgin Islands,Road Town,153,24041
Brunei,Bandar Seri Begawan,5770,381371
Bulgaria,Sofia,110910,7262675
Burkina Faso,Ouagadougou,274200,15264735
Burma (Myanmar),Pyinmana,678500,47758180
Burundi,Bujumbura,27830,8691005
Cambodia,Phnom Penh,181040,14241640
Cameroon,Yaounde,475440,18467692
Canada,Ottawa,9984670,33212696
Cape Verde,Praia,4033,426998
Cayman Islands,George Town,262,47862
Central African Republic,Bangui,622984,4444330
Chad,N'Djamena,1284000,10111337
Chile,Santiago,756950,16454143
China,Beijing,9596960,1330044544
China Hong Kong SAR,Victoria,1092,7018636
China Macao SAR,Macau,28,545674
Christmas Island,The Settlement,135,1402
Cocos Islands,West Island,14,596
Colombia,Bogota,1138910,45013672
Comoros,Moroni,2170,731775
Congo Dem. Rep. of the,Kinshasa,2345410,66514504
Congo Rep. of the,Brazzaville,342000,3903318
Cook Islands,Avarua,237,12271
Costa Rica,San Jose,51100,4195914
Cote d'Ivoire,Yamoussoukro,322460,20179602
Croatia,Zagreb,56542,4491543
Cuba,Havana,110860,11423952
Cyprus,Nicosia,9250,792604
