Year,Winner/2nd,,Scores,Total,Money (US$)
1998,Fred Couples,1,64-70-66-66-66,332,414000.00
,Bruce Lietzke,2,65-65-71-62-69,332,248400.00
1997,John Cook,1,66-69-67-62-63,327,270000.00
,Mark Calcavecchia,2,64-67-66-64-67,328,162000.00
1996,Mark Brooks,1,66-68-69-67-67,337,234000.00
,John Huston,2,69-71-65-65-68,338,140400.00
1995,Kenny Perry,1,63-71-64-67-70,335,216000.00
,David Duval,2,67-68-65-67-69,336,129600.00
1994,Scott Hoch,1,66-62-70-66-70,334,198000.00
,Fuzzy Zoeller,T2,70-67-66-68-66,337,82133.34
,Lennie Clements,T2,67-69-61-72-68,337,82133.33
,Jim Gallagher Jr.,T2,66-67-74-62-68,337,82133.33
1993,Tom Kite,1,67-67-64-65-62,325,198000.00
,Rick Fehr,2,66-66-70-62-67,331,118800.00
1992,John Cook,1,65-73-63-69-66,336,198000.00
,Rick Fehr,T2,64-72-66-71-63,336,72600
,Tom Kite,T2,65-73-68-67-63,336,72600.00
,Mark O'Meara,T2,66-69-65-67-69,336,72600.00
,Gene Sauers,T2,69-65-64-70-68,336,72600.00
1991,Corey Pavin,1,65-69-66-66-65,331,198000.00
,Mark O'Meara,2,66-65-66-67-67,331,118800.00
1990,Peter Jacobsen,1,67-66-69-66-71,339,180000.00
,Scott Simpson,T2,68-69-67-68-68,340,88000.00
,Brian Tennyson,T2,73-68-66-67-66,340,88000.00
1989,Steve Jones,1,76-68-67-63-69,343,180000.00
,Paul Azinger,T2,69-68-70-67-69,343,88000.00
,Sandy Lyle,T2,70-68-68-68-69,343,88000.00
1988,Jay Haas,1,63-68-69-68-70,338,180000.00
,David Edwards,2,66-71-71-65-67,340,108000.00
1987,Corey Pavin,1,72-71-65-66-67,341,162000.00
,Bernhard Langer,2,68-66-68-70-70,342,97200.00
1986,Donnie Hammond,1,69-64-68-68-66,335,108000.00
,John Cook,2,68-67-65-69-66,335,64800.00
1985,Lanny Wadkins,1,67-67-68-66-65,333,90000.00
,Craig Stadler,2,66-68-64-69-66,333,54000.00
1984,John Mahaffey,1,66-70-70-68-66,340,72000.00
,Jim Simons,2,69-63-70-69-69,340,43200.00
1983,Keith Fergus,1,71-69-65-65-65,335,67500.00
,Rex Caldwell,2,67-69-69-65-65,335,40500.00
1982,Ed Fiori,1,70-65-66-67-67,335,50000.00
,Tom Kite,2,68-66-66-69-66,335,29700.00
1981,Bruce Lietzke,1,65-66-65-70-69,335,50000.00
,Jerry Pate,2,66-67-68-67-69,337,29700.00
1980,Craig Stadler,1,69-68-70-69-67,343,50000.00
,Tom Purtzer,T2,70-70-68-69-68,345,24200.00
,Mike Sullivan,T2,71-70-65-71-68,345,24200.00
1979,John Mahaffey,1,66-66-71-71-69,343,50000.00
,Lee Trevino,2,71-68-66-70-69,344,29700.00
1978,Bill Rogers,1,69-67-67-67-69,339,45000.00
,Jerry McGee,2,71-68-65-70-67,341,25650.00
1977,Rik Massengale,1,64-66-70-70-67,337,40000.00
,Bruce Lietzke,2,67-67-70-72-67,343,22800.00
1976,Johnny Miller,1,71-69-73-68-63,344,36000.00
,Rik Massengale,2,69-72-71-68-67,347,20520.00
1975,Johnny Miller,1,64-69-72-66-68,339,32000.00
,Bob Murphy,2,74-67-67-68-66,342,18240.00
1974,Hubert Green,1,72-69-66-69-65,341,32048.00
,Bert Yancey,2,71-72-61-69-70,343,18267.40
1973,Arnold Palmer,1,71-66-69-68-69,343,32000.00
,Johnny Miller,T2,70-70-70-63-72,345,14800.00
,Jack Nicklaus,T2,64-70-71-68-72,345,14800.00
1972,Bob Rosburg,1,66-69-72-70-67,344,29000.00
,Lanny Wadkins,2,70-69-70-69-67,345,16530.00
1971,Arnold Palmer,1,67-71-66-68-70,342,28000.00
,Ray Floyd,2,68-71-70-66-67,342,16000.00
1970,Bruce Devlin,1,67-68-68-70-66,339,25000.00
,Larry Ziegler,2,67-65-68-71-72,343,14300.00
1969,Billy Casper,1,71-68-71-69-66,345,20000.00
,Dave Hill,2,69-72-70-71-66,348,11400.00
1968,Arnold Palmer,1,72-70-67-71-68,348,20000.00
,Deane Beman,2,72-74-70-67-65,348,12000.00
1967,Tom Nieporte,1,76-68-68-68-69,349,17600.00
,Doug Sanders,2,70-73-69-67-71,350,10560.00
1966,Doug Sanders,1,70-72-68-73-66,349,15000.00
,Arnold Palmer,2,71-70-71-67-70,349,8000.00
1965,Billy Casper,1,70-70-69-67-72,348,15000.00
,Tommy Aaron,T2,69-69-69-72-70,349,6600.00
,Arnold Palmer,T2,70-70-72-67-70,349,6600.00
1964,Tommy Jacobs,1,66-74-74-69-70,353,7500.00
,Jimmy Demaret,2,75-68-67-72-71,353,4000.00
1963,Jack Nicklaus,1,69-66-67-71-72,345,9000.00
,Gary Player,2,67-69-73-69-67,345,4600.00
1962,Arnold Palmer,1,69-67-66-71-69,342,5300.00
,Jay Hebert,T2,69-70-66-69-71,345,2800.00
,Gene Littler,T2,67-71-64-68-75,345,2800.00
1961,Billy Maxwell,1,68-70-68-68-71,345,5300.00
,Doug Sanders,2,68-73-71-66-69,347,3400.00
1960,Arnold Palmer,1,67-73-67-66-65,338,12000.00
,Fred Hawkins,2,69-69-71-67-65,341,6600.00
