Rank,Player (2011 TBs),TBs
1,Hank Aaron,6856
2,Stan Musial,6134
3,Willie Mays,6066
4,Barry Bonds,5976
5,Ty Cobb,5854
6,Babe Ruth,5793
7,Pete Rose,5752
8,Carl Yastrzemski,5539
9,Eddie Murray,5397
10,Rafael Palmeiro,5388
11,Frank Robinson,5373
12,Ken Griffey Jr.,5271
13,Dave Winfield,5221
14,Alex Rodriguez (172),5215
15,Cal Ripken Jr.,5168
16,Tris Speaker,5101
17,Lou Gehrig,5060
18,George Brett,5044
19,Mel Ott,5041
20,Jimmie Foxx,4956
21,Ted Williams,4884
22,Honus Wagner,4862
23,Paul Molitor,4854
24,Al Kaline,4852
25,Reggie Jackson,4834
26,Manny Ram?rez,4826
27,Andre Dawson,4787
