Political Party,Appropriate Officer,Total value of donations disclosed
Christian Democrats (The National Party),Mr. Daniel J.Desmond,Nil
Christian Solidarity Party,Mr. Michael Redmond,Nil
Communist Party of Ireland,Mr. Eugene McCartan,Nil
Fianna Fсil,Mr. Seсn Dorgan,Nil
Fine Gael,Mr. Tom Curran,Nil
Green Party,Mr. Martin C. Nolan,30600
Labour Party,Mr. Mike Allen,11100
Progressive Democrats,Mr. John Higgins,Nil
Sinn Fщin,Mr. Desmond Mackin,87233.80
Socialist Party,Mr. Michael Murphy,11819.55
Socialist Workers Party,Ms. Brэd Smith,Nil
South Kerry Independent Alliance,Mr. Donie Doody,Nil
The Workers Party,Mr. John Lowry,Nil
Total,,140753.35
