country,pop. dens.,area,population
,(/km?),(km?),(2002-07-01 est.)
Mauritius,588,2040,1200206
Mayotte (Fr.),457,374,170879
Reunion (Fr.),296,2512,743981
Comoros,283,2170,614382
Rwanda,281,26338,7398074
Burundi,229,27830,6373002
Seychelles,176,455,80098
S?o Tom? and Pr?ncipe,170,1001,170372
Nigeria,141,923768,129934911
Gambia,129,11300,1455842
Uganda,105,236040,24699073
Cape Verde,101,4033,408760
Togo,93,56785,5285501
Malawi,90,118480,10701824
Ghana,85,239460,20244154
Sierra Leone,78,71740,5614743
Lesotho,73,30355,2207954
Egypt,71,1001450,70712345
Morocco (excluding Western Sahara),70,446550,31167783
Swaziland,65,17363,1123605
Benin,60,112620,6787625
Ethiopia,60,1127127,67673031
Tunisia,60,163610,9815644
Senegal,54,196190,10589571
Kenya,53,582650,31138735
C?te d'Ivoire,52,322460,16804784
Burkina Faso,46,274200,12603185
Tanzania,39,945087,37187939
Guinea-Bissau,37,36120,1345479
Eritrea,37,121320,4465651
South Africa,36,1219912,43647658
Cameroon,34,475440,16184748
Guinea,32,245857,7775065
Liberia,30,111370,3288198
Zimbabwe,29,390580,11376676
Madagascar,28,587040,16473477
Mozambique,24,801590,19607519
Democratic Republic of the Congo,24,2345410,55225478
Djibouti,21,23000,472810
Equatorial Guinea,18,28051,498144
Saint Helena (UK),18,410,7317
Sudan,15,2505810,37090298
Algeria,14,2381740,32277942
Zambia,13,752614,9959037
Somalia,12,637657,7753310
Mali,9.1,1240000,11340480
Republic of the Congo,8.7,342000,2958448
Angola,8.5,1246700,10593171
Niger,8.4,1267000,10639744
Chad,7.0,1284000,8997237
Central African Republic,5.8,622984,3642739
Gabon,4.6,267667,1233353
Libya,3.1,1759540,5368585
Mauritania,2.7,1030700,2828858
Botswana,2.7,600370,1591232
Namibia,2.2,825418,1820916
Western Sahara (Morocco),1.0,266000,256177
